Iteration	Day	Players
1 	1 	1250.0
1 	2 	1193.6
1 	3 	802.683333333
1 	4 	609.866666667
1 	5 	494.65
1 	6 	417.833333333
1 	7 	362.833333333
1 	8 	321.433333333
1 	9 	289.1
1 	10 	263.1
1 	11 	241.733333333
1 	12 	223.833333333
1 	13 	208.6
1 	14 	195.483333333
1 	15 	184.05
1 	16 	174.0
1 	17 	165.1
1 	18 	157.133333333
1 	19 	149.983333333
1 	20 	143.516666667
1 	21 	137.633333333
1 	22 	132.25
1 	23 	127.333333333
1 	24 	122.8
1 	25 	118.6
1 	26 	114.716666667
1 	27 	111.116666667
1 	28 	107.75
1 	29 	104.6
1 	30 	101.65
1 	31 	98.8833333333
1 	32 	96.2666666667
1 	33 	93.8166666667
1 	34 	91.5
1 	35 	89.3
1 	36 	87.2166666667
1 	37 	85.25
1 	38 	83.3666666667
1 	39 	81.5833333333
1 	40 	79.8833333333
1 	41 	78.25
1 	42 	76.7
1 	43 	75.2166666667
1 	44 	73.8
1 	45 	72.4333333333
1 	46 	71.1166666667
1 	47 	69.8666666667
1 	48 	68.6666666667
1 	49 	67.5
1 	50 	66.3833333333
1 	51 	65.3
1 	52 	64.2666666667
1 	53 	63.2666666667
1 	54 	62.3
1 	55 	61.3666666667
1 	56 	60.4666666667
1 	57 	59.5833333333
1 	58 	58.7333333333
1 	59 	57.9166666667
1 	60 	57.1333333333
1 	61 	56.35
1 	62 	55.6166666667
1 	63 	54.8833333333
1 	64 	54.1833333333
1 	65 	53.5
1 	66 	52.8333333333
1 	67 	52.1833333333
1 	68 	51.5666666667
1 	69 	50.95
1 	70 	50.35
1 	71 	49.7666666667
1 	72 	49.2166666667
1 	73 	48.65
1 	74 	48.1166666667
1 	75 	47.6
1 	76 	47.0833333333
1 	77 	46.5833333333
1 	78 	46.1
1 	79 	45.6333333333
1 	80 	45.1666666667
1 	81 	44.7
1 	82 	44.2666666667
1 	83 	43.8333333333
1 	84 	43.4
1 	85 	42.9833333333
1 	86 	42.5833333333
1 	87 	42.1833333333
1 	88 	41.8
1 	89 	41.4166666667
1 	90 	41.0333333333
1 	91 	40.6833333333
1 	92 	40.3166666667
1 	93 	39.9666666667
1 	94 	39.6166666667
1 	95 	39.2833333333
1 	96 	38.95
1 	97 	38.6333333333
1 	98 	38.3
1 	99 	38.0
1 	100 	37.6833333333
1 	101 	37.3833333333
1 	102 	37.0833333333
1 	103 	36.8
1 	104 	36.5166666667
1 	105 	36.2333333333
1 	106 	35.95
1 	107 	35.6833333333
1 	108 	35.4166666667
1 	109 	35.15
1 	110 	34.9
1 	111 	34.65
1 	112 	34.4
1 	113 	34.15
1 	114 	33.9
1 	115 	33.6666666667
1 	116 	33.4333333333
1 	117 	33.2
1 	118 	32.9833333333
1 	119 	32.75
1 	120 	32.5333333333
1 	121 	32.3166666667
1 	122 	32.1
1 	123 	31.9
1 	124 	31.6833333333
1 	125 	31.4833333333
1 	126 	31.2833333333
1 	127 	31.0833333333
1 	128 	30.8833333333
1 	129 	30.7
1 	130 	30.5
1 	131 	30.3166666667
1 	132 	30.1333333333
1 	133 	29.95
1 	134 	29.7666666667
1 	135 	29.6
1 	136 	29.4166666667
1 	137 	29.25
1 	138 	29.0833333333
1 	139 	28.9166666667
1 	140 	28.75
1 	141 	28.5833333333
1 	142 	28.4166666667
1 	143 	28.2666666667
1 	144 	28.1
1 	145 	27.95
1 	146 	27.8
1 	147 	27.65
1 	148 	27.5
1 	149 	27.35
1 	150 	27.2
1 	151 	27.05
1 	152 	26.9166666667
1 	153 	26.7666666667
1 	154 	26.6333333333
1 	155 	26.5
1 	156 	26.3666666667
1 	157 	26.2333333333
1 	158 	26.1
1 	159 	25.9666666667
1 	160 	25.8333333333
1 	161 	25.7
1 	162 	25.5833333333
1 	163 	25.45
1 	164 	25.3333333333
1 	165 	25.2
1 	166 	25.0833333333
1 	167 	24.9666666667
1 	168 	24.85
1 	169 	24.7333333333
1 	170 	24.6166666667
1 	171 	24.5
1 	172 	24.3833333333
1 	173 	24.2666666667
1 	174 	24.1666666667
1 	175 	24.05
1 	176 	23.9333333333
1 	177 	23.8333333333
1 	178 	23.7333333333
1 	179 	23.6166666667
1 	180 	23.5166666667
1 	181 	23.4166666667
1 	182 	23.3166666667
1 	183 	23.2
1 	184 	23.1
1 	185 	23.0
1 	186 	22.9166666667
1 	187 	22.8166666667
1 	188 	22.7166666667
1 	189 	22.6166666667
1 	190 	22.5166666667
1 	191 	22.4333333333
1 	192 	22.3333333333
1 	193 	22.25
1 	194 	22.15
1 	195 	22.0666666667
1 	196 	21.9666666667
1 	197 	21.8833333333
1 	198 	21.8
1 	199 	21.7166666667
1 	200 	21.6166666667
1 	201 	21.5333333333
1 	202 	21.45
1 	203 	21.3666666667
1 	204 	21.2833333333
1 	205 	21.2
1 	206 	21.1166666667
1 	207 	21.0333333333
1 	208 	20.9666666667
1 	209 	20.8833333333
1 	210 	20.8
1 	211 	20.7166666667
1 	212 	20.65
1 	213 	20.5666666667
1 	214 	20.4833333333
1 	215 	20.4166666667
1 	216 	20.3333333333
1 	217 	20.2666666667
1 	218 	20.2
1 	219 	20.1166666667
1 	220 	20.05
1 	221 	19.9666666667
1 	222 	19.9
1 	223 	19.8333333333
1 	224 	19.7666666667
1 	225 	19.7
1 	226 	19.6166666667
1 	227 	19.55
1 	228 	19.4833333333
1 	229 	19.4166666667
1 	230 	19.35
1 	231 	19.2833333333
1 	232 	19.2166666667
1 	233 	19.15
1 	234 	19.0833333333
1 	235 	19.0166666667
1 	236 	18.9666666667
1 	237 	18.9
1 	238 	18.8333333333
1 	239 	18.7666666667
1 	240 	18.7166666667
1 	241 	18.65
1 	242 	18.5833333333
1 	243 	18.5333333333
1 	244 	18.4666666667
1 	245 	18.4
1 	246 	18.35
1 	247 	18.2833333333
1 	248 	18.2333333333
1 	249 	18.1666666667
1 	250 	18.1166666667
1 	251 	18.05
1 	252 	18.0
1 	253 	17.95
1 	254 	17.8833333333
1 	255 	17.8333333333
1 	256 	17.7833333333
1 	257 	17.7166666667
1 	258 	17.6666666667
1 	259 	17.6166666667
1 	260 	17.5666666667
1 	261 	17.5
1 	262 	17.45
1 	263 	17.4
1 	264 	17.35
1 	265 	17.3
1 	266 	17.25
1 	267 	17.2
1 	268 	17.15
1 	269 	17.1
1 	270 	17.05
1 	271 	17.0
1 	272 	16.95
1 	273 	16.9
1 	274 	16.85
1 	275 	16.8
1 	276 	16.75
1 	277 	16.7
1 	278 	16.65
1 	279 	16.6
1 	280 	16.5666666667
1 	281 	16.5166666667
1 	282 	16.4666666667
1 	283 	16.4166666667
1 	284 	16.3833333333
