ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent	NoOfReadsinPuzzleCovALT	UserPercentDifferntToBWACovALT	MeanPercentOfReadsDifferentCovALT
245	1740	8	20	20	0	0	9	0	0
246	1740	5	20	20	0	0	10	0	0
247	1764	11	20	20	0	0	4	0	0
248	1756	10	20	20	0	0	6	0	0
249	1780	12	20	20	0	0	5	0	0
250	1756	7	20	20	0	0	5	0	0
251	1772	5	20	20	0	0	2	0	0
252	1739	2	20	20	100	10.0	5	100	40.0
253	1756	1	20	20	0	0	5	0	0
254	1742	8	20	20	100	9.375	3	100	61.875
255	1742	10	20	20	100	10.0	8	100	25.0
256	1772	9	20	20	0	0	4	0	0
257	1764	5	20	20	0	0	5	0	0
258	1741	2	20	20	100	5.0	10	100	10.0
259	1686	4	20	20	100	10.0	10	100	20.0
260	1780	11	20	20	0	0	5	0	0
261	1772	7	20	20	0	0	11	0	0
262	1764	8	20	20	0	0	6	0	0
263	1758	6	20	20	100	5.0	6	100	16.0
264	1757	9	20	20	100	5.0	6	100	16.0
265	1734	4	20	20	100	5.0	6	100	16.0
266	1740	6	20	20	0	0	8	0	0
267	1749	6	20	20	100	5.0	8	100	12.0
268	1780	11	20	20	0	0	4	0	0
269	1734	7	20	20	100	5.0	8	100	12.0
270	1628	2	20	20	100	5.0	13	100	7.0
271	1712	5	20	20	0	0	20	0	0
272	236	2	10	10	100	10.0	0	0	0
273	328	2	20	16	100	12.0	11	0	0
274	287	9	4	4	0	0	3	0	0
275	38	1	17	15	0	0	13	0	0
276	1000	2	20	20	100	100.0	0	0	0
277	1008	3	20	20	100	100.0	0	0	0
278	1013	1	20	20	100	100.0	0	0	0
279	1138	11	20	20	100	40.0	6	0	0
280	1967	3	20	20	100	60.0	16	100	56.0
281	1925	14	20	20	100	70.0	14	100	64.0
282	1951	7	20	20	100	70.0	12	100	66.0
283	1978	4	20	20	100	90.0	18	100	88.0
284	1946	8	20	20	100	85.0	17	100	82.0
285	1931	9	20	20	100	75.0	17	100	76.0
286	1891	5	20	20	100	95.0	9	100	88.0
287	1806	7	20	20	100	75.0	15	100	80.0
288	1363	2	20	20	100	100.0	5	100	100.0
289	66	7	1	1	100	100.0	0	0	0
290	129	5	15	11	100	18.0	8	0	0
291	700	1	20	20	100	100.0	0	0	0
292	1807	4	20	20	100	30.0	14	100	35.0
293	1937	3	20	20	100	100.0	14	100	100.0
294	1963	5	20	20	100	90.0	15	100	93.0
295	1873	8	20	20	100	81.25	13	100	78.5
296	295	4	6	6	0	0	0	0	0
297	275	5	20	16	0	0	13	0	0
298	1067	11	20	18	0	0	13	0	0
299	760	13	18	18	7	5.0	10	7	10.0
300	1346	2	20	20	100	20.0	12	100	16.5
301	1020	5	20	20	100	5.0	12	100	8.0
302	1787	9	20	20	0	0	12	0	0
303	407	2	10	10	100	60.0	1	0	0
304	760	1	20	20	100	35.0	0	0	0
305	928	7	20	20	0	0	7	0	0
306	1678	11	20	20	100	5.0	9	100	11.0
307	1892	10	20	20	0	0	9	0	0
308	1940	5	20	20	0	0	8	0	0
309	1924	10	20	20	0	0	8	0	0
310	1916	12	20	20	0	0	10	0	0
311	1940	10	20	20	0	0	15	0	0
312	1940	12	20	20	0	0	3	0	0
313	1916	4	20	20	0	0	9	0	0
314	1822	7	20	20	0	0	12	0	0
315	1538	3	20	20	100	5.0	2	100	50.0
316	1464	9	20	18	0	0	7	0	0
317	1457	4	20	18	0	0	5	0	0
318	1405	3	20	20	100	5.0	9	100	11.0
319	1021	1	20	20	100	75.0	5	100	20.0
320	287	1	7	7	100	100.0	0	0	0
321	825	1	20	18	100	11.0	12	100	8.0
322	1353	11	20	20	0	0	14	0	0
323	106	1	3	3	100	100.0	0	0	0
324	997	6	20	20	100	100.0	0	0	0
325	1020	5	20	20	100	100.0	0	0	0
326	1012	3	20	20	100	100.0	1	100	100.0
327	1227	2	20	20	100	60.0	4	100	25.0
328	1551	5	20	20	100	10.0	9	100	11.0
329	1598	4	20	20	100	10.0	11	100	18.0
330	1596	6	20	20	0	0	7	0	0
331	1463	3	20	20	100	10.0	10	0	0
332	1636	11	20	20	0	0	15	0	0
333	1584	4	20	20	100	5.0	10	100	10.0
334	1620	15	20	20	0	0	12	0	0
335	1491	5	20	20	20	5.0	15	20	6.0
336	1281	5	20	20	100	45.0	11	100	27.0
337	1067	1	20	20	100	100.0	6	100	100.0
338	1004	1	20	20	100	95.0	0	0	0
339	1025	1	20	20	100	100.0	0	0	0
340	763	1	17	17	100	100.0	0	0	0
341	729	1	20	20	100	10.0	10	0	0
342	1868	10	20	20	0	0	14	0	0
343	1879	16	20	20	0	0	13	0	0
344	917	2	15	15	100	6.0	2	0	0
345	977	1	20	20	100	60.0	10	100	20.0
346	1176	12	20	20	100	10.0	16	100	6.0
347	108	11	2	2	100	100.0	2	100	100.0
348	254	2	20	18	100	11.0	16	100	12.0
349	873	6	13	13	100	53.0	8	100	62.0
350	737	2	20	20	100	62.5	0	0	0
351	1238	5	20	20	100	5.0	12	100	8.0
352	1890	8	20	20	0	0	11	0	0
353	1908	9	20	20	0	0	12	0	0
354	1917	15	20	20	0	0	8	0	0
355	1854	8	20	20	100	5.0	11	100	9.0
356	1916	13	20	20	0	0	13	0	0
357	1695	3	20	20	0	0	14	0	0
358	1112	1	20	20	100	20.0	6	100	50.0
359	640	1	20	20	100	85.0	0	0	0
360	112	9	3	3	100	100.0	0	0	0
361	809	2	20	20	100	20.0	12	100	8.0
362	1641	7	20	20	0	0	14	0	0
363	310	1	5	5	100	40.0	3	0	0
364	1111	2	20	20	100	45.0	4	0	0
365	1925	2	20	20	100	5.0	14	100	7.0
366	1916	8	20	20	0	0	13	0	0
367	1932	7	20	20	0	0	13	0	0
368	1318	1	19	19	100	36.0	9	100	22.0
369	1355	11	20	20	0	0	9	0	0
370	1164	9	14	14	0	0	11	0	0
371	208	2	20	20	100	20.0	14	100	7.0
372	1309	2	20	20	100	55.0	8	100	12.0
373	102	4	2	2	100	100.0	0	0	0
374	1234	1	20	20	100	15.0	5	0	0
375	1924	6	20	20	100	5.0	10	100	10.0
376	1932	6	20	20	0	0	8	0	0
377	1892	6	20	20	0	0	15	0	0
378	1804	5	20	20	100	5.0	16	100	6.0
379	1480	7	20	20	100	5.0	11	100	9.0
380	1035	1	20	20	100	5.0	11	0	0
381	450	1	10	10	100	100.0	0	0	0
382	416	3	20	20	100	50.0	6	0	0
383	631	6	20	18	0	0	16	0	0
384	202	1	4	4	100	50.0	2	0	0
385	1274	11	20	20	0	0	13	0	0
386	1916	6	20	20	0	0	13	0	0
387	1836	6	20	20	0	0	10	0	0
388	705	1	15	13	100	69.0	2	100	50.0
389	1256	3	20	20	100	65.0	7	100	28.0
390	490	5	6	6	100	59.4	6	100	59.4
391	890	2	20	20	100	57.5	0	0	0
392	1452	13	20	20	0	0	6	0	0
393	1761	11	20	20	100	70.0	10	100	80.0
394	1967	3	20	20	100	70.0	12	100	52.333333333333336
395	1954	13	20	20	100	76.92307692307692	13	100	67.3076923076923
396	1969	6	20	20	100	99.16666666666667	10	100	98.33333333333333
397	1992	6	20	20	100	66.66666666666667	12	100	66.16666666666667
398	1982	4	20	20	100	68.75	13	100	66.75
399	1984	5	20	20	60	35.0	11	60	33.0
400	1945	22	20	20	40	30.0	6	40	33.0
401	1407	13	20	20	15	42.5	12	15	45.5
402	857	1	20	20	100	75.0	0	0	0
403	560	11	14	14	100	100.0	0	0	0
404	165	2	20	20	100	15.0	14	100	7.0
405	1831	8	20	20	100	95.0	5	100	80.0
406	1790	9	20	20	100	100.0	8	100	100.0
407	1810	5	20	20	100	75.0	17	100	82.0
408	1367	7	16	16	100	87.0	15	100	86.0
409	551	6	20	14	0	0	12	0	0
410	100	1	4	2	100	50.0	0	0	0
411	1052	2	20	20	100	100.0	0	0	0
412	1448	5	20	20	100	40.0	11	100	27.0
413	1726	4	20	20	100	10.0	16	100	12.0
414	1749	4	20	20	100	5.0	16	100	6.0
415	1386	2	20	20	100	50.0	10	100	20.0
416	275	1	5	5	100	100.0	0	0	0
417	1278	3	20	20	100	36.666666666666664	12	100	16.0
418	1908	8	20	20	0	0	16	0	0
419	1419	9	20	20	0	0	13	0	0
420	803	1	17	17	100	100.0	2	100	100.0
421	941	1	20	20	100	100.0	4	100	100.0
422	1700	7	20	20	100	100.0	14	100	100.0
423	1752	7	20	20	100	100.0	11	100	100.0
424	1776	8	20	20	100	100.0	13	100	100.0
425	1775	8	20	20	100	95.0	10	100	100.0
426	1307	11	20	20	0	0	6	0	0
427	257	2	7	7	100	100.0	0	0	0
428	464	6	20	18	100	33.0	13	100	15.0
429	291	24	3	3	0	0	3	0	0
430	822	2	20	20	100	20.0	10	0	0
431	1924	12	20	20	0	0	15	0	0
432	1932	6	20	20	0	0	13	0	0
433	1884	6	20	20	0	0	10	0	0
434	1730	9	20	20	0	0	14	0	0
435	757	3	17	17	0	0	5	0	0
436	474	10	20	20	100	5.0	16	100	6.0
437	1357	16	20	20	100	25.0	16	100	31.0
438	1883	9	20	18	100	55.0	18	100	55.0
439	1741	11	20	18	100	66.0	17	100	64.0
440	1287	11	20	20	100	40.0	9	100	77.0
441	781	2	20	20	100	15.0	0	0	0
442	703	2	16	16	100	43.0	0	0	0
443	1588	1	20	20	100	5.0	8	0	0
444	1916	14	20	20	100	40.0	9	100	44.0
445	1940	12	20	20	100	90.0	12	100	83.0
446	1939	4	20	20	100	90.0	11	100	81.0
447	1815	6	20	20	100	90.0	15	100	93.0
448	1954	9	20	20	100	99.44444444444444	11	100	98.88888888888889
449	1950	13	20	20	84	100.0	7	84	100.0
450	1942	6	20	20	100	84.16666666666667	13	100	84.5
451	1938	7	20	20	100	41.42857142857143	15	100	41.57142857142857
452	1289	5	20	20	100	30.0	10	100	44.0
453	834	5	20	20	100	5.0	0	0	0
454	143	1	5	5	100	20.0	0	0	0
455	1118	6	20	20	0	0	15	0	0
456	486	13	6	6	0	0	3	0	0
457	359	2	15	11	100	36.0	9	100	22.0
458	815	1	20	20	100	100.0	0	0	0
459	703	1	20	20	100	100.0	0	0	0
460	819	3	20	20	100	90.0	1	100	100.0
461	872	1	20	20	100	60.0	1	100	100.0
462	890	2	20	20	100	50.0	2	0	0
463	1155	1	20	20	100	30.0	3	0	0
464	1353	7	20	20	0	0	5	0	0
465	1509	8	20	20	0	0	6	0	0
466	1677	2	20	20	100	5.0	7	0	0
467	1775	9	20	20	100	5.0	5	100	20.0
468	1764	7	20	20	0	0	7	0	0
469	1583	1	20	20	100	5.0	9	0	0
470	1731	1	20	20	100	5.0	10	0	0
471	1757	4	20	20	100	10.0	5	100	40.0
472	1611	2	20	20	100	10.0	9	100	22.0
473	1743	5	20	20	100	5.0	11	100	9.0
474	1652	8	20	20	100	5.0	10	100	10.0
475	1486	4	20	20	100	10.0	12	100	16.0
476	1706	7	20	20	100	10.0	10	100	10.0
477	1726	11	20	20	0	0	8	0	0
478	1780	11	20	20	0	0	4	0	0
479	1780	7	20	20	0	0	11	0	0
480	1780	15	20	20	0	0	6	0	0
481	1780	10	20	20	0	0	4	0	0
482	1767	13	20	20	100	5.0	8	100	12.0
483	1770	7	20	20	0	0	12	0	0
484	1318	4	20	20	0	0	8	0	0
485	1020	6	20	20	0	0	5	0	0
486	914	8	20	20	100	5.0	2	0	0
487	950	7	20	20	0	0	0	0	0
488	952	6	20	20	0	0	0	0	0
489	723	1	20	18	100	16.0	0	0	0
490	639	1	16	16	100	100.0	0	0	0
491	1140	2	20	20	100	10.0	10	0	0
492	1932	12	20	20	0	0	17	0	0
493	663	1	8	8	100	12.0	7	0	0
494	1500	4	20	20	100	5.0	14	100	7.0
495	1683	8	20	20	0	0	17	0	0
496	675	8	10	10	100	50.0	5	0	0
497	1082	3	20	20	100	5.0	14	100	7.0
498	1724	3	20	20	100	10.0	9	100	22.0
499	1772	7	20	20	0	0	13	0	0
500	1693	6	20	20	0	0	16	0	0
501	680	3	13	13	100	100.0	1	100	100.0
502	1158	4	20	20	100	25.0	11	0	0
503	1715	11	20	20	0	0	18	0	0
504	1914	6	20	20	0	0	17	0	0
505	729	1	15	15	100	40.0	2	0	0
506	1320	1	20	20	100	100.0	8	100	100.0
507	1780	10	20	20	100	100.0	10	100	100.0
508	1764	7	20	20	100	100.0	7	100	100.0
509	1780	13	20	20	100	100.0	9	100	100.0
510	1335	9	20	20	100	65.0	14	100	64.0
511	1098	2	20	20	100	50.0	7	100	14.0
512	212	1	4	4	100	100.0	0	0	0
513	674	3	20	20	100	38.333333333333336	9	66	11.0
514	1468	3	20	20	100	45.0	14	100	47.333333333333336
515	285	1	7	7	100	42.0	0	0	0
516	1077	1	20	20	100	55.0	7	100	28.0
517	1803	11	20	20	0	0	14	0	0
518	1647	4	20	20	100	25.0	17	100	17.0
519	1072	4	20	20	100	85.0	4	100	50.0
520	546	1	20	18	100	5.0	14	0	0
521	464	5	6	6	100	16.0	4	0	0
522	883	2	20	20	100	80.0	4	0	0
523	1697	7	20	20	0	0	15	0	0
524	1505	13	20	20	0	0	15	0	0
525	1025	2	20	20	100	5.0	5	0	0
526	336	3	8	8	100	100.0	0	0	0
527	1138	1	20	20	100	70.0	3	100	33.0
528	1729	7	20	20	0	0	12	0	0
529	1753	7	20	20	100	85.0	12	100	75.0
530	1114	5	13	13	100	100.0	11	100	100.0
531	1241	3	20	20	100	20.0	8	0	0
532	1893	5	20	20	100	5.0	13	100	7.0
533	1924	14	20	20	0	0	13	0	0
534	1650	7	20	20	0	0	16	0	0
535	508	1	15	15	100	46.0	1	100	100.0
536	862	2	20	20	100	65.0	1	0	0
537	1665	12	20	20	0	0	11	0	0
538	1864	9	20	20	0	0	10	0	0
539	1835	15	20	20	0	0	11	0	0
540	1932	12	20	20	0	0	11	0	0
541	1044	3	19	19	100	26.0	6	0	0
542	1673	1	20	20	100	90.0	13	100	84.0
543	1700	4	20	20	100	65.0	16	100	62.0
544	1420	5	20	20	100	10.0	11	100	9.0
545	264	1	7	7	100	100.0	0	0	0
546	1675	10	20	20	0	0	11	0	0
547	1424	8	20	20	0	0	13	0	0
548	1481	4	20	20	100	5.0	12	100	8.0
549	521	2	13	13	100	30.0	3	100	33.0
550	1440	3	20	20	100	20.0	9	100	11.0
551	1764	15	20	20	0	0	15	0	0
552	890	7	17	17	0	0	10	0	0
553	1128	1	20	20	100	100.0	0	0	0
554	1180	2	20	20	100	100.0	0	0	0
555	1116	1	20	20	100	100.0	0	0	0
556	1190	6	20	20	100	90.0	8	100	87.0
557	1997	11	20	20	100	100.0	12	100	100.0
558	1987	9	20	20	100	100.0	8	100	100.0
559	1899	7	20	20	100	100.0	8	100	100.0
560	1957	6	20	20	100	100.0	13	100	100.0
561	1700	14	20	20	100	68.92857142857143	14	100	62.642857142857146
562	1884	7	20	20	100	95.0	15	100	93.0
563	1967	7	20	20	100	40.714285714285715	12	100	39.0
564	1995	5	20	20	40	5.0	9	40	11.0
565	1979	10	20	20	10	5.0	13	10	7.0
566	1652	3	20	18	100	11.0	13	100	15.0
567	1417	4	20	20	100	87.5	11	100	76.5
568	1260	5	20	20	100	100.0	5	100	100.0
569	1252	5	20	20	100	100.0	0	0	0
570	732	1	15	11	100	100.0	0	0	0
571	1452	9	17	17	100	11.0	13	100	15.0
572	1067	2	20	20	100	100.0	0	0	0
573	808	7	20	20	100	5.0	2	0	0
574	1588	6	20	20	100	5.0	17	100	5.0
575	1940	14	20	20	0	0	5	0	0
576	1925	1	20	20	100	5.0	10	100	10.0
577	1577	4	20	20	100	5.0	11	100	9.0
578	1083	7	20	20	0	0	6	0	0
579	539	1	13	13	100	23.0	0	0	0
580	780	5	20	20	100	100.0	0	0	0
581	1386	10	20	20	0	0	12	0	0
582	1701	4	20	20	100	6.25	9	100	11.0
583	1749	4	20	20	100	5.0	10	100	10.0
584	1772	10	20	20	0	0	12	0	0
585	1772	14	20	20	0	0	6	0	0
586	1772	13	20	20	0	0	12	0	0
587	1732	6	20	20	0	0	10	0	0
588	1701	3	20	20	100	5.0	13	100	7.0
589	1672	13	20	20	0	0	8	0	0
590	827	1	20	20	100	100.0	3	100	100.0
591	315	4	7	7	100	100.0	0	0	0
