ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent
195	1620	9	20	20	0	0
196	1612	12	20	20	0	0
197	1585	9	20	20	0	0
198	1492	5	20	20	0	0
199	1277	7	20	20	0	0
200	815	1	20	18	100	44.0
201	879	2	20	20	100	100.0
202	665	5	20	20	0	0
203	707	1	20	20	100	75.0
204	743	1	20	20	100	85.0
205	764	1	20	20	100	90.0
206	90	6	2	2	100	100.0
207	580	3	20	20	100	100.0
208	565	2	20	20	100	100.0
209	572	1	20	20	100	100.0
210	587	3	20	20	100	100.0
211	606	2	20	20	100	60.0
212	862	4	20	20	0	0
213	1004	8	20	20	100	90.0
214	1154	5	20	20	100	20.0
215	1392	7	20	20	0	0
216	1478	9	20	20	0	0
217	1540	7	20	20	0	0
218	1710	13	20	20	0	0
219	1757	2	20	20	100	5.0
220	1510	6	20	20	0	0
221	1702	2	20	20	100	5.0
222	1772	12	20	20	0	0
223	1773	4	20	20	100	5.0
224	1748	9	20	20	0	0
225	1705	1	20	20	100	5.0
226	1772	6	20	20	0	0
227	1780	9	20	20	0	0
228	1772	6	20	20	0	0
229	1764	10	20	20	0	0
230	1772	13	20	20	0	0
231	1772	10	20	20	0	0
232	1766	4	20	20	100	5.0
233	1751	2	20	20	100	10.0
234	1767	4	20	20	100	10.0
235	1780	11	20	20	0	0
236	1757	17	20	20	100	5.0
237	1734	2	20	20	100	5.0
238	1772	9	20	20	0	0
239	1780	12	20	20	0	0
240	1760	4	20	20	100	15.0
241	1780	17	20	20	0	0
242	1732	5	20	20	0	0
243	1772	15	20	20	0	0
244	1780	11	20	20	0	0
245	1740	8	20	20	0	0
246	1740	5	20	20	0	0
247	1764	11	20	20	0	0
248	1756	11	20	20	0	0
249	1780	13	20	20	0	0
250	1756	7	20	20	0	0
251	1772	6	20	20	0	0
252	1739	2	20	20	100	10.0
253	1756	1	20	20	0	0
254	1742	8	20	20	100	9.375
255	1742	11	20	20	100	10.0
256	1772	9	20	20	0	0
257	1764	5	20	20	0	0
258	1741	3	20	20	100	5.0
259	1686	4	20	20	100	10.0
260	1780	11	20	20	0	0
261	1772	8	20	20	0	0
262	1764	8	20	20	0	0
263	1758	6	20	20	100	5.0
264	1757	13	20	20	100	5.0
265	1734	4	20	20	100	5.0
266	1740	8	20	20	0	0
267	1749	6	20	20	100	5.0
268	1780	12	20	20	0	0
269	1734	8	20	20	100	5.0
270	1628	2	20	20	100	5.0
271	1712	5	20	20	0	0
272	236	3	10	10	100	10.0
273	328	2	20	16	100	12.0
274	287	9	4	4	0	0
275	38	1	17	15	0	0
276	1000	2	20	20	100	100.0
277	1008	4	20	20	100	100.0
278	1013	1	20	20	100	100.0
279	1138	11	20	20	100	40.0
280	1967	3	20	20	100	60.0
281	1925	15	20	20	100	70.0
282	1951	8	20	20	100	70.0
283	1978	5	20	20	100	90.0
284	1950	2	20	20	100	85.0
285	1931	9	20	20	100	75.0
286	1891	5	20	20	100	95.0
287	1806	7	20	20	100	75.0
288	1363	2	20	20	100	100.0
289	66	7	1	1	100	100.0
290	129	6	15	11	100	18.0
291	700	1	20	20	100	100.0
292	1807	6	20	20	100	30.0
293	1937	3	20	20	100	100.0
294	1963	5	20	20	100	90.0
295	1873	9	20	20	100	82.77777777777777
296	295	5	6	6	0	0
297	275	6	20	16	0	0
298	1067	11	20	18	0	0
299	760	13	18	18	7	5.0
300	1360	1	20	20	100	25.0
301	1020	7	20	20	100	5.0
302	1787	10	20	20	0	0
303	407	2	10	10	100	60.0
304	760	1	20	20	100	35.0
305	928	8	20	20	0	0
306	1678	12	20	20	100	5.0
307	1892	11	20	20	0	0
308	1940	9	20	20	0	0
309	1924	11	20	20	0	0
310	1916	14	20	20	0	0
311	1940	10	20	20	0	0
312	1940	14	20	20	0	0
313	1916	4	20	20	0	0
314	1822	7	20	20	0	0
315	1538	5	20	20	100	5.0
316	1464	9	20	18	0	0
317	1457	4	20	18	0	0
318	1405	3	20	20	100	5.0
319	1021	1	20	20	100	75.0
320	287	2	7	7	100	100.0
321	825	1	20	18	100	11.0
322	1353	11	20	20	0	0
323	106	1	3	3	100	100.0
324	997	8	20	20	100	100.0
325	1020	6	20	20	100	100.0
326	1012	3	20	20	100	100.0
327	1227	2	20	20	100	60.0
328	1551	6	20	20	100	10.0
329	1598	5	20	20	100	10.0
330	1596	6	20	20	0	0
331	1463	3	20	20	100	10.0
332	1636	11	20	20	0	0
333	1584	4	20	20	100	5.0
334	1620	16	20	20	0	0
335	1491	5	20	20	20	5.0
336	1281	6	20	20	100	45.0
337	1067	2	20	20	100	100.0
338	1004	1	20	20	100	95.0
339	1025	1	20	20	100	100.0
340	763	1	17	17	100	100.0
341	729	1	20	20	100	10.0
342	1868	11	20	20	0	0
