ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent
2600	1970	11	20	20	100	5.0
2601	1989	14	20	20	92	19.615384615384617
2602	2014	3	20	20	66	12.5
2603	1961	5	20	20	100	90.0
2604	1063	12	15	15	100	38.833333333333336
2605	817	1	20	20	100	100.0
2606	817	3	20	20	100	100.0
2607	793	5	20	20	100	5.0
2608	897	2	20	20	100	10.0
2609	1000	8	20	20	0	0
2610	1005	10	20	20	100	50.0
2611	1081	5	20	20	100	20.0
2612	1641	5	20	20	100	5.0
2613	1772	10	20	20	0	0
2614	1772	12	20	20	0	0
2615	1772	12	20	20	0	0
2616	1727	10	20	20	100	5.0
2617	1663	3	20	20	100	5.0
2618	1772	10	20	20	0	0
2619	1765	1	20	20	100	5.0
2620	1780	7	20	20	0	0
2621	1772	5	20	20	0	0
2622	1677	1	20	20	100	5.0
2623	1638	6	20	20	100	20.0
2624	1780	11	20	20	0	0
2625	1758	9	20	20	100	10.0
2626	1718	7	20	20	100	10.0
2627	1772	10	20	20	0	0
2628	1749	2	20	20	100	10.0
2629	1780	11	20	20	0	0
2630	1764	7	20	20	0	0
2631	1749	6	20	20	100	5.0
2632	1766	10	20	20	100	10.0
2633	1705	13	20	20	100	5.0
2634	1486	4	20	20	100	10.0
2635	1230	4	20	20	0	0
2636	933	4	20	20	0	0
2637	840	6	20	20	0	0
2638	807	5	20	20	100	70.0
2639	700	7	20	20	100	30.0
2640	649	2	20	20	100	17.5
2641	331	1	8	8	100	100.0
2642	521	2	20	18	100	16.0
2643	485	7	20	20	0	0
2644	48	4	1	1	100	100.0
2645	1131	11	20	20	0	0
2646	34	2	1	1	100	100.0
2647	1131	1	20	20	100	80.0
2648	1510	2	20	20	100	15.0
2649	1757	4	20	20	100	5.0
2650	1780	6	20	20	0	0
2651	1742	2	20	20	100	15.0
2652	1764	13	20	20	0	0
2653	1764	12	20	20	0	0
2654	1767	11	20	20	0	0
2655	1150	3	20	20	100	5.0
2656	1116	4	20	18	100	94.0
2657	630	9	11	11	100	100.0
2658	614	2	20	18	100	5.0
2659	1924	7	20	20	0	0
2660	702	11	20	20	0	0
2661	980	8	20	20	0	0
2662	701	4	20	20	100	10.0
2663	604	2	20	20	100	100.0
2664	90	1	3	3	100	100.0
2665	1382	4	20	20	100	15.0
2666	1932	12	20	20	0	0
2667	1528	7	20	20	0	0
2668	1394	12	20	20	0	0
2669	703	7	16	16	100	50.0
2670	388	10	20	20	0	0
2671	845	1	14	14	100	50.0
2672	254	3	15	15	100	13.0
2673	987	1	20	20	100	70.0
2674	1795	14	20	20	100	40.0
2675	1775	5	20	20	100	95.0
2676	1812	14	20	20	100	90.0
2677	1759	3	20	20	100	95.0
2678	1778	5	20	20	100	95.0
2679	1841	2	20	20	100	90.0
2680	1774	4	20	20	100	85.0
2681	1775	17	20	20	100	95.0
2682	1256	3	20	20	100	50.0
2683	603	1	16	16	100	100.0
2684	1054	1	20	20	100	100.0
2685	1905	6	20	20	0	0
2686	1916	15	20	20	0	0
2687	1924	13	20	20	0	0
2688	1783	7	20	20	0	0
2689	601	2	12	10	100	30.0
2690	795	1	20	20	100	100.0
2691	1027	1	20	20	100	65.0
2692	1589	5	20	20	100	5.0
2693	1620	13	20	20	0	0
2694	1489	2	19	19	100	5.0
2695	832	1	20	20	100	100.0
2696	813	1	20	20	100	100.0
2697	1292	3	20	20	0	0
2698	1869	13	20	18	100	64.38461538461539
2699	1992	9	20	20	100	98.88888888888889
2700	1909	4	20	20	100	88.75
2701	1992	7	20	20	100	99.28571428571429
2702	1966	2	20	20	100	100.0
2703	1968	7	20	20	100	94.28571428571429
2704	1976	12	20	20	100	84.16666666666667
2705	2000	16	20	20	100	97.8125
2706	1984	13	20	20	23	8.333333333333334
2707	1285	8	20	16	25	31.0
2708	268	4	6	6	100	33.0
2709	859	2	20	20	100	45.0
2710	1234	17	20	20	0	0
2711	1787	5	20	20	100	5.0
2712	1909	5	20	20	100	5.0
2713	1924	11	20	20	0	0
2714	1893	4	20	20	100	5.0
2715	1692	4	20	20	100	5.0
2716	914	2	20	20	100	35.0
2717	38	1	1	1	100	100.0
2718	1156	2	20	20	100	50.0
2719	833	15	12	10	0	0
2720	1069	2	20	20	100	100.0
2721	1563	2	20	20	100	75.0
2722	1830	7	20	20	100	86.42857142857143
2723	1814	5	20	20	100	61.0
2724	1801	3	20	18	100	100.0
2725	1841	3	20	20	100	90.0
2726	1832	7	20	20	85	98.33333333333333
2727	1727	12	20	20	100	24.583333333333332
2728	1113	2	20	20	100	90.0
2729	58	6	1	1	100	100.0
2730	774	1	20	20	100	10.0
2731	1733	7	20	20	100	5.0
2732	1577	4	20	20	100	10.0
2733	1009	5	20	20	100	65.0
2734	172	2	4	4	100	100.0
2735	40	6	20	20	0	0
2736	1151	3	20	20	100	10.0
2737	936	2	20	20	100	90.0
2738	133	2	3	3	100	100.0
2739	1138	3	20	20	100	96.66666666666667
2740	1604	10	20	20	100	100.0
2741	917	8	20	20	100	50.0
2742	32	1	1	1	100	100.0
2743	768	1	20	20	100	55.0
2744	1264	1	20	18	100	88.0
2745	1930	11	20	20	100	65.0
2746	1978	6	20	20	100	60.0
2747	1944	17	20	20	100	65.0
2748	1979	7	20	20	100	65.0
2749	1883	6	20	20	100	70.0
2750	1973	1	20	20	100	60.0
2751	1948	15	20	20	100	80.0
2752	1954	12	20	20	100	75.0
2753	1984	5	20	20	100	50.0
2754	1896	1	20	18	100	55.0
2755	1558	1	20	18	100	44.0
2756	1305	4	20	20	100	65.0
2757	511	3	14	14	100	92.0
2758	1253	8	20	16	0	0
2759	699	3	11	11	100	27.0
2760	1917	8	20	20	100	5.0
2761	1940	12	20	20	0	0
2762	1868	14	20	20	0	0
2763	1916	9	20	20	0	0
2764	1918	5	20	20	100	10.0
2765	1924	8	20	20	0	0
2766	1804	9	20	20	100	5.0
2767	1932	13	20	20	0	0
2768	1925	6	20	20	100	5.0
2769	1917	7	20	20	100	5.0
2770	1789	3	20	20	100	5.0
2771	1940	10	20	20	0	0
2772	1932	8	20	20	0	0
2773	1916	12	20	20	0	0
2774	1940	11	20	20	0	0
2775	1908	13	20	20	0	0
2776	1898	4	20	20	100	15.0
2777	1836	6	20	20	100	5.0
2778	1558	2	20	16	100	6.0
2779	1219	3	20	20	100	15.0
2780	1060	8	20	20	100	100.0
2781	952	7	20	20	100	55.0
2782	624	1	20	20	100	85.0
2783	632	2	20	20	100	100.0
2784	614	1	20	16	100	100.0
2785	363	3	11	11	100	100.0
2786	757	1	20	20	100	100.0
2787	860	2	20	20	100	100.0
2788	869	2	20	20	100	100.0
2789	894	7	20	20	100	95.0
2790	1063	1	20	20	100	100.0
2791	1398	14	20	20	100	95.0
2792	1476	7	20	20	100	95.0
2793	1709	12	20	20	100	100.0
2794	1682	2	20	20	100	100.0
2795	1748	7	20	20	100	95.0
2796	1740	5	20	20	100	100.0
2797	1712	6	20	20	100	100.0
2798	1775	4	20	20	100	100.0
2799	1741	4	20	20	100	100.0
2800	1780	12	20	20	100	100.0
2801	1772	10	20	20	100	100.0
2802	1780	6	20	20	100	95.0
2803	1780	11	20	20	100	100.0
2804	1780	11	20	20	100	100.0
2805	1757	2	20	20	100	30.0
2806	1773	3	20	20	100	85.0
2807	1772	5	20	20	100	35.0
2808	1765	10	20	20	100	85.0
2809	1772	14	20	20	100	90.0
2810	1756	19	20	20	100	90.0
2811	1764	6	20	20	100	95.0
2812	1780	12	20	20	100	100.0
2813	1780	13	20	20	100	100.0
2814	1742	8	20	20	100	100.0
2815	1661	39	20	20	100	100.0
2816	1000	8	20	20	100	95.0
2817	976	6	20	20	100	100.0
2818	931	8	20	20	100	100.0
2819	689	6	20	20	100	100.0
2820	692	9	20	20	100	100.0
2821	643	2	20	20	100	100.0
2822	637	3	20	20	100	100.0
2823	520	1	20	20	100	100.0
2824	416	3	14	14	100	92.0
2825	640	2	20	20	100	100.0
2826	624	3	20	20	100	95.0
2827	770	2	20	20	100	97.5
2828	1160	12	20	20	100	100.0
2829	1116	1	20	20	100	100.0
2830	1121	3	20	20	100	100.0
2831	1160	9	20	20	100	100.0
2832	1145	5	20	20	100	100.0
2833	1121	1	20	20	100	100.0
2834	1153	8	20	20	100	100.0
2835	783	3	20	20	100	95.0
2836	560	14	20	20	100	100.0
2837	703	3	20	20	100	100.0
2838	148	7	4	4	100	100.0
2839	1384	1	20	18	100	27.0
2840	1780	9	20	20	0	0
2841	1756	11	20	20	0	0
2842	973	1	20	20	100	55.0
2843	157	1	5	5	100	80.0
2844	1734	3	20	20	100	10.0
2845	1758	1	20	20	100	10.0
2846	1764	10	20	20	0	0
2847	914	1	20	20	100	45.0
2848	742	1	20	20	100	20.0
2849	1067	11	20	16	0	0
2850	1462	8	20	20	100	56.875
2851	1992	21	20	20	90	97.36842105263158
2852	1990	15	20	20	100	16.0
2853	1958	8	20	20	100	6.875
2854	1917	14	20	20	100	5.0
2855	1667	18	20	20	100	10.555555555555555
2856	1452	8	20	20	25	5.0
2857	575	1	18	18	100	77.0
2858	1035	1	20	20	100	55.0
2859	1745	13	20	20	0	0
2860	1748	4	20	20	0	0
2861	1740	15	20	20	0	0
2862	1765	3	20	20	100	5.0
2863	1490	2	20	20	100	5.0
2864	440	2	11	11	100	45.0
2865	973	3	20	20	100	80.0
2866	1731	10	20	20	0	0
2867	1741	9	20	20	100	5.0
2868	1772	6	20	20	0	0
2869	1156	2	20	20	100	35.0
2870	150	2	3	3	100	100.0
2871	878	3	20	20	100	30.0
2872	1917	7	20	20	100	5.0
2873	1932	10	20	20	0	0
2874	1776	9	20	20	0	0
2875	538	1	12	12	100	33.0
2876	1527	2	20	20	100	25.0
2877	1917	5	20	20	100	5.0
2878	1625	13	20	20	0	0
2879	244	3	5	5	100	20.0
2880	831	4	20	20	100	100.0
2881	941	2	20	20	100	95.0
2882	1420	7	20	20	100	100.0
2883	1854	6	20	20	100	100.0
2884	1868	13	20	20	100	100.0
2885	1863	6	20	20	100	100.0
2886	1884	6	20	20	100	100.0
2887	1845	4	20	20	100	100.0
2888	1876	4	20	20	100	100.0
2889	1852	6	20	20	100	100.0
2890	1840	5	20	20	100	100.0
2891	1253	2	20	20	100	90.0
2892	378	1	6	6	100	100.0
2893	1600	12	20	20	100	80.0
2894	1492	15	20	20	100	75.0
2895	800	16	20	20	100	40.0
2896	705	12	20	20	100	35.0
2897	1292	13	20	20	100	65.0
2898	1968	6	20	20	100	95.0
2899	1074	4	20	18	100	100.0
2900	1099	1	20	20	100	100.0
2901	1074	1	20	20	100	100.0
2902	1080	3	20	20	100	100.0
2903	1072	1	20	20	100	100.0
2904	1072	4	20	20	100	100.0
2905	1072	1	20	20	100	100.0
2906	1100	2	20	20	100	100.0
2907	893	1	20	18	100	100.0
2908	1097	2	20	20	100	100.0
2909	1098	2	20	20	100	100.0
2910	440	2	8	8	100	100.0
2911	723	1	20	20	100	100.0
2912	825	2	20	20	100	100.0
2913	882	4	20	20	100	10.0
2914	974	6	20	20	100	25.0
2915	982	3	20	20	100	45.0
2916	1446	4	20	20	100	5.0
2917	1458	12	20	20	0	0
2918	1553	2	20	20	0	0
2919	1728	5	20	20	100	5.0
2920	1780	11	20	20	0	0
2921	1773	6	20	20	100	5.0
2922	1757	7	20	20	100	5.0
2923	1772	11	20	20	0	0
2924	1764	5	20	20	0	0
2925	1744	3	20	20	100	11.666666666666666
2926	1772	7	20	20	0	0
2927	1780	14	20	20	0	0
2928	1772	6	20	20	0	0
2929	1748	6	20	20	0	0
2930	1772	6	20	20	0	0
2931	1757	5	20	20	100	5.0
2932	1780	8	20	20	0	0
2933	1780	14	20	20	100	10.0
2934	1764	13	20	20	0	0
2935	1780	8	20	20	0	0
2936	1756	11	20	20	0	0
2937	1756	10	20	20	0	0
2938	1780	11	20	20	0	0
2939	1764	11	20	20	0	0
2940	1764	8	20	20	0	0
2941	1772	9	20	20	0	0
2942	1756	14	20	20	0	0
2943	1780	18	20	20	0	0
2944	1780	6	20	20	0	0
2945	1751	7	20	20	100	5.0
2946	1780	10	20	20	0	0
2947	1751	9	20	20	100	5.0
2948	1752	6	20	20	100	5.0
2949	1390	14	20	20	0	0
2950	1380	16	20	20	0	0
2951	1225	7	20	20	0	0
2952	969	7	20	20	100	60.0
2953	842	7	20	20	100	5.0
2954	890	6	20	20	100	15.0
2955	813	2	20	20	100	45.0
2956	786	4	20	20	100	100.0
2957	734	1	20	20	100	100.0
2958	406	2	12	12	100	91.0
2959	543	1	20	20	100	100.0
2960	644	2	20	20	100	100.0
2961	799	2	20	20	100	95.0
2962	1744	6	20	20	100	55.0
2963	1990	7	20	20	100	99.28571428571429
2964	1992	9	20	20	100	99.44444444444444
2965	1991	3	20	20	100	28.333333333333332
2966	1931	6	20	20	100	93.33333333333333
2967	1898	7	20	20	100	85.0
2968	1982	10	20	20	100	84.5
2969	1119	1	20	20	100	75.0
2970	879	1	20	20	100	100.0
2971	626	2	13	13	100	100.0
2972	630	2	20	20	100	100.0
2973	1857	6	20	20	100	100.0
2974	1997	12	20	20	100	97.91666666666667
2975	1998	12	20	20	100	99.58333333333333
2976	1983	5	20	20	100	94.0
2977	1883	9	20	20	100	89.44444444444444
2978	1897	8	20	20	100	87.5
2979	1953	7	20	20	100	100.0
2980	1736	4	20	20	100	100.0
2981	1547	3	20	20	100	100.0
2982	1186	2	20	20	100	95.0
2983	519	3	12	12	100	83.0
2984	1310	4	20	20	100	100.0
2985	1943	10	20	20	100	100.0
2986	1835	9	20	20	100	96.66666666666667
2987	1847	2	20	20	100	95.0
2988	1985	2	20	20	100	100.0
2989	1989	10	20	20	100	99.5
2990	1980	3	20	20	100	100.0
2991	1980	3	20	20	100	98.33333333333333
2992	1752	8	20	20	87	67.14285714285714
2993	1978	5	20	20	100	56.0
2994	1888	7	20	20	100	18.571428571428573
2995	1261	2	20	20	100	87.5
2996	999	1	19	19	100	100.0
2997	1590	3	20	20	100	25.0
2998	1916	9	20	20	100	10.0
2999	1916	13	20	20	100	100.0
3000	1718	3	20	20	100	100.0
3001	912	4	20	20	100	100.0
3002	1625	8	20	20	0	0
3003	1777	8	20	20	0	0
3004	360	1	10	10	100	100.0
3005	408	5	17	11	100	9.0
3006	1054	6	20	20	100	100.0
3007	1025	8	20	20	100	100.0
3008	945	2	20	20	100	100.0
3009	901	4	20	20	100	100.0
3010	1131	3	20	20	100	100.0
3011	1320	7	20	20	100	100.0
3012	1195	5	20	20	100	85.0
3013	471	3	20	18	100	61.0
3014	525	2	20	20	100	75.0
3015	495	1	20	18	100	66.0
3016	372	1	20	16	100	56.0
3017	595	3	20	20	100	85.0
3018	445	1	20	16	100	68.0
3019	267	9	20	18	0	0
3020	521	2	20	18	100	72.0
3021	385	1	20	20	100	55.0
3022	486	2	20	20	100	70.0
3023	480	1	14	14	100	100.0
3024	993	3	20	20	100	100.0
3025	983	2	20	20	100	60.0
3026	1557	9	20	20	0	0
3027	1902	3	20	20	100	5.0
3028	1917	9	20	20	100	5.0
3029	1925	5	20	20	100	5.0
3030	1932	5	20	20	0	0
3031	1916	15	20	20	0	0
3032	1917	4	20	20	100	5.0
3033	1917	8	20	20	100	5.0
3034	1438	7	20	20	0	0
3035	862	1	20	20	100	20.0
3036	126	4	4	4	100	75.0
3037	645	1	20	20	100	100.0
3038	900	2	20	20	100	100.0
3039	940	1	20	20	100	100.0
3040	960	2	20	20	100	100.0
3041	932	2	20	20	100	100.0
3042	900	2	20	20	100	100.0
3043	960	2	20	20	100	100.0
3044	952	4	20	20	100	100.0
3045	952	2	20	20	100	100.0
3046	954	1	20	20	100	100.0
3047	960	2	20	20	100	100.0
3048	960	2	20	20	100	100.0
3049	1003	1	20	20	100	35.0
3050	1079	5	20	20	100	100.0
3051	1270	6	20	20	100	100.0
3052	1300	7	20	20	100	100.0
3053	1300	7	20	20	100	100.0
3054	1236	2	20	20	100	100.0
3055	1330	7	20	20	100	100.0
3056	1475	2	20	20	100	100.0
3057	1634	7	20	20	100	100.0
3058	1755	5	20	20	100	100.0
3059	1792	3	20	20	100	100.0
3060	1758	1	20	20	100	100.0
3061	1615	1	20	20	100	100.0
3062	1779	1	20	20	100	85.0
3063	1747	3	20	20	100	100.0
3064	1767	1	20	20	100	95.0
3065	1800	7	20	20	100	100.0
3066	1760	3	20	20	100	100.0
3067	1751	4	20	20	100	100.0
3068	1784	4	20	20	100	100.0
3069	1787	1	20	20	100	100.0
3070	1800	10	20	20	100	100.0
3071	1738	2	20	20	100	100.0
3072	1784	3	20	20	100	100.0
3073	1800	6	20	20	100	100.0
3074	1784	6	20	20	100	100.0
3075	1784	3	20	20	100	100.0
3076	1792	8	20	20	100	100.0
3077	1776	8	20	20	100	100.0
3078	1792	5	20	20	100	100.0
3079	1736	9	20	20	100	100.0
3080	1638	3	20	20	100	95.0
3081	1776	3	20	20	100	100.0
3082	1792	3	20	20	100	100.0
3083	1800	14	20	20	100	100.0
3084	1776	4	20	20	100	100.0
3085	1800	2	20	20	100	100.0
3086	1792	4	20	20	100	100.0
3087	1794	4	20	20	100	95.0
3088	1784	2	20	20	100	100.0
3089	1784	4	20	20	100	100.0
3090	1784	7	20	20	100	100.0
3091	1800	3	20	20	100	100.0
3092	1792	10	20	20	100	100.0
3093	1800	3	20	20	100	100.0
3094	1744	4	20	20	100	100.0
3095	1792	2	20	20	100	100.0
3096	1792	6	20	20	100	100.0
3097	1776	7	20	20	100	100.0
3098	1792	7	20	20	100	100.0
3099	1768	1	20	20	100	100.0
3100	1772	12	20	20	0	0
3101	1800	6	20	20	100	100.0
3102	1784	11	20	20	100	100.0
3103	1693	1	20	20	100	100.0
3104	1792	4	20	20	100	100.0
3105	1776	2	20	20	100	95.0
3106	1779	5	20	20	100	100.0
3107	1784	3	20	20	100	100.0
3108	1807	4	20	20	100	95.0
3109	1814	5	20	20	100	90.0
3110	1729	2	20	20	100	100.0
3111	1780	8	20	20	100	5.0
3112	1787	4	20	20	100	100.0
3113	1800	4	20	20	100	100.0
3114	1787	3	20	20	100	100.0
3115	1792	4	20	20	100	100.0
3116	1784	3	20	20	100	100.0
3117	1792	6	20	20	100	100.0
3118	1765	3	20	20	100	100.0
3119	1763	4	20	20	100	100.0
3120	1756	7	20	20	0	0
3121	1771	2	20	20	100	100.0
3122	1768	2	20	20	100	100.0
3123	1665	8	20	20	100	100.0
3124	1584	6	20	20	100	100.0
3125	1556	4	20	20	100	95.0
3126	1406	4	20	20	100	96.25
3127	1374	3	20	20	100	98.33333333333333
3128	1372	4	20	20	100	97.5
3129	1360	9	20	20	100	100.0
3130	1356	4	20	20	100	100.0
3131	1342	3	20	20	100	100.0
3132	956	9	20	20	100	27.22222222222222
3133	800	3	20	20	100	91.66666666666667
3134	827	6	20	20	100	100.0
3135	868	6	20	20	100	95.0
3136	912	10	20	20	100	100.0
3137	920	13	20	20	100	100.0
3138	902	14	20	20	100	100.0
3139	880	3	20	18	100	100.0
3140	687	3	20	20	100	100.0
3141	612	6	20	20	100	100.0
3142	530	3	20	20	100	100.0
3143	980	2	20	20	100	100.0
3144	1025	1	20	20	100	50.0
3145	1285	4	20	20	100	85.0
3146	1619	6	20	20	66	77.5
3147	1983	4	20	20	100	75.0
3148	1986	13	20	20	100	10.0
3149	1960	6	20	20	100	24.166666666666668
3150	1948	3	20	20	100	10.0
3151	2000	7	20	20	0	0
3152	1898	6	20	20	100	25.0
3153	1996	8	20	20	100	10.0
3154	992	3	20	20	100	20.0
3155	1370	2	20	20	100	90.0
3156	1540	6	20	20	100	100.0
3157	1301	3	20	20	100	85.0
3158	1208	2	20	20	100	80.0
3159	1465	3	20	16	100	100.0
3160	77	7	1	1	100	100.0
3161	873	1	20	20	100	40.0
3162	1421	6	20	20	100	5.0
3163	1897	9	20	20	0	0
3164	1932	4	20	20	0	0
3165	1916	11	20	20	0	0
3166	1924	14	20	20	0	0
3167	1697	17	20	20	0	0
3168	540	1	10	10	100	100.0
3169	927	1	20	20	100	25.0
3170	1882	10	20	20	0	0
3171	1334	12	20	20	0	0
3172	1164	8	20	20	0	0
3173	1722	10	20	20	0	0
3174	1382	5	20	20	0	0
3175	442	1	12	10	100	50.0
3176	48	4	20	20	100	5.0
3177	772	3	13	13	100	69.0
3178	794	2	20	20	100	20.0
3179	1407	6	20	20	100	65.0
3180	1520	7	20	20	100	100.0
3181	1520	11	20	20	100	100.0
3182	1500	4	20	20	100	100.0
3183	936	2	20	20	100	65.0
3184	886	2	19	19	100	100.0
3185	721	1	20	20	100	100.0
3186	829	2	20	20	100	35.0
3187	1830	15	20	20	0	0
3188	1932	15	20	20	0	0
3189	1940	10	20	20	0	0
3190	1645	7	20	20	100	5.0
3191	980	3	18	18	100	94.0
3192	697	2	20	20	100	100.0
3193	1213	1	20	20	100	5.0
3194	1555	1	20	20	100	20.0
3195	1215	13	20	18	0	0
3196	334	1	10	10	100	70.0
3197	1028	1	20	20	100	85.0
3198	1904	15	20	20	0	0
3199	1940	14	20	20	0	0
3200	1924	10	20	20	0	0
3201	1259	1	20	20	100	40.0
3202	1214	8	20	18	100	83.0
3203	1122	4	20	20	100	55.0
3204	932	4	20	20	100	98.75
3205	1452	1	20	20	100	5.0
3206	1409	8	20	20	100	5.0
3207	1144	13	20	20	0	0
3208	536	2	12	12	100	75.0
3209	897	2	20	20	100	25.0
3210	1765	9	20	20	100	5.0
3211	1668	6	20	20	100	5.0
3212	1004	4	20	20	100	30.0
3213	384	1	12	12	100	100.0
3214	1292	1	20	20	100	5.0
3215	1780	9	20	20	0	0
3216	1772	12	20	20	0	0
3217	1679	5	20	20	0	0
3218	1009	1	19	19	100	89.0
3219	802	1	20	20	100	25.0
3220	1591	17	20	20	0	0
3221	1772	17	20	20	0	0
3222	1759	9	20	20	0	0
3223	1304	4	20	20	100	20.0
3224	312	4	6	6	100	100.0
3225	770	3	20	20	100	50.0
3226	1265	7	20	20	100	5.0
3227	1954	6	20	20	100	85.0
3228	1942	7	20	20	100	98.57142857142857
3229	1976	7	20	20	85	80.0
3230	1980	4	20	20	75	100.0
3231	1724	8	20	20	37	38.333333333333336
3232	770	1	20	20	100	70.0
3233	190	3	5	5	100	100.0
3234	90	2	20	20	100	15.0
3235	1539	8	20	20	0	0
3236	294	1	6	6	100	100.0
3237	1739	6	20	20	100	51.666666666666664
3238	1991	6	20	20	100	75.0
3239	2007	16	20	20	100	90.0
3240	1979	11	20	20	100	89.0909090909091
3241	1976	8	20	20	100	92.5
3242	1835	7	20	20	100	85.0
3243	1036	2	20	20	100	22.5
3244	660	1	20	20	100	95.0
3245	52	1	2	2	100	100.0
3246	932	8	20	20	100	100.0
3247	1449	2	20	20	100	45.0
3248	1911	5	20	20	100	72.0
3249	1920	6	20	20	100	100.0
3250	890	2	20	20	100	50.0
3251	1077	1	20	20	100	40.0
3252	1852	4	20	20	100	5.0
3253	1924	9	20	20	0	0
3254	1811	15	20	20	0	0
3255	1087	1	20	20	100	55.0
3256	215	5	5	5	100	100.0
3257	860	1	20	20	100	100.0
3258	1780	5	20	20	0	0
3259	1723	2	20	20	100	5.0
3260	1417	3	20	20	100	15.0
3261	82	3	2	2	100	100.0
3262	525	5	20	16	100	12.0
3263	846	13	12	12	100	8.0
3264	1569	3	20	20	100	75.0
3265	2065	10	20	20	100	30.0
3266	2069	5	20	20	100	45.0
3267	2064	10	20	20	100	60.0
3268	2070	10	20	20	100	65.0
3269	2062	9	20	20	100	45.0
3270	2057	3	20	18	100	55.0
3271	1839	13	20	20	100	70.38461538461539
3272	1016	2	20	20	100	65.0
3273	105	5	3	3	100	100.0
3274	1128	1	20	20	100	45.0
3275	1367	6	20	20	0	0
3276	1940	8	20	20	0	0
3277	1686	9	20	20	0	0
3278	35	4	1	1	100	100.0
3279	1083	3	20	20	100	55.0
3280	1756	13	20	20	0	0
3281	1772	18	20	20	0	0
3282	774	3	15	15	100	26.0
3283	721	3	20	20	100	100.0
3284	772	2	20	20	100	100.0
3285	756	1	20	20	100	100.0
3286	777	2	20	20	100	100.0
3287	779	1	20	20	100	100.0
3288	845	2	20	20	100	100.0
3289	860	11	20	20	0	0
3290	992	5	20	20	0	0
3291	986	2	20	20	100	70.0
3292	1014	3	20	20	100	50.0
3293	1040	7	20	20	0	0
3294	1030	11	20	20	0	0
3295	1014	4	20	20	100	5.0
3296	1014	10	20	20	0	0
3297	1000	6	20	20	0	0
3298	1000	12	20	20	0	0
3299	1000	6	20	20	0	0
3300	1000	6	20	20	0	0
3301	992	14	20	20	0	0
3302	1000	23	20	20	0	0
3303	1000	10	20	20	0	0
3304	946	1	20	20	100	10.0
3305	983	4	20	20	100	10.0
3306	1000	7	20	20	0	0
3307	1000	5	20	20	0	0
3308	1000	10	20	20	0	0
3309	1018	3	20	20	100	5.0
3310	1496	11	20	20	0	0
3311	1509	4	20	20	0	0
3312	1581	10	20	20	0	0
3313	1612	7	20	20	0	0
3314	1581	5	20	20	0	0
3315	1620	13	20	20	0	0
3316	1612	7	20	20	0	0
3317	1620	5	20	20	0	0
3318	1588	6	20	20	0	0
3319	1543	1	20	20	100	5.0
3320	1499	5	20	20	100	10.0
3321	1612	13	20	20	0	0
3322	1620	11	20	20	0	0
3323	1620	13	20	20	100	5.0
3324	1604	9	20	20	0	0
3325	1612	13	20	20	0	0
3326	1573	5	20	20	0	0
3327	1620	9	20	20	0	0
3328	1612	6	20	20	0	0
3329	1612	12	20	20	0	0
3330	1566	5	20	20	100	5.0
3331	1518	1	20	20	100	5.0
3332	1612	5	20	20	0	0
3333	1620	12	20	20	0	0
3334	1547	8	20	20	0	0
3335	1620	12	20	20	0	0
3336	1612	5	20	20	0	0
3337	1588	8	20	20	0	0
3338	1600	4	20	20	100	7.5
3339	1612	10	20	20	0	0
3340	1620	4	20	20	0	0
3341	1558	4	20	20	100	10.0
3342	1590	1	20	20	100	5.0
3343	1604	4	20	20	0	0
3344	1573	9	20	20	0	0
3345	1565	2	20	20	0	0
3346	1620	15	20	20	0	0
3347	1620	15	20	20	0	0
3348	1588	12	20	20	0	0
3349	1589	11	20	20	100	10.0
3350	1598	6	20	20	100	10.0
3351	1583	5	20	20	100	15.0
3352	1581	6	20	20	100	5.0
3353	1620	8	20	20	0	0
3354	1598	2	20	20	100	10.0
3355	1620	12	20	20	0	0
3356	1596	10	20	20	0	0
3357	1620	9	20	20	0	0
3358	1588	12	20	20	0	0
3359	1566	4	20	20	100	5.0
3360	1589	4	20	20	100	5.0
3361	1605	5	20	20	100	5.0
3362	1620	12	20	20	100	5.0
3363	1612	15	20	20	0	0
3364	1526	4	20	20	100	15.0
3365	1604	12	20	20	0	0
3366	1620	13	20	20	0	0
3367	1532	4	20	20	100	5.0
3368	1620	9	20	20	0	0
3369	1588	10	20	20	0	0
3370	1620	9	20	20	0	0
3371	1543	3	20	20	100	5.0
3372	1597	9	20	20	100	5.0
3373	1610	7	20	20	57	5.0
3374	1530	6	20	20	100	5.0
3375	1620	8	20	20	0	0
3376	1612	7	20	20	0	0
3377	1620	9	20	20	0	0
3378	1620	8	20	20	0	0
3379	1620	12	20	20	0	0
3380	1620	7	20	20	0	0
3381	1620	12	20	20	0	0
3382	1558	6	20	20	100	26.666666666666668
3383	1531	15	20	20	100	85.0
3384	1558	3	20	20	100	100.0
3385	1620	12	20	20	100	95.0
3386	1604	10	20	20	100	80.0
3387	1597	3	20	20	100	5.0
3388	1597	4	20	20	100	5.0
3389	1612	13	20	20	0	0
3390	1590	6	20	20	100	10.0
3391	1581	5	20	20	100	5.0
3392	1588	8	20	20	0	0
3393	1604	8	20	20	100	5.0
3394	1620	14	20	20	0	0
3395	1573	3	20	20	100	10.0
3396	1612	8	20	20	0	0
3397	1597	4	20	20	100	5.0
