week	nthWeek	dayOfWeek	dayOfWeekName	sessions
21	0040	3	Wednesday	46
22	0041	3	Wednesday	43
23	0042	3	Wednesday	40
24	0043	3	Wednesday	43
25	0044	3	Wednesday	42
26	0045	3	Wednesday	43
27	0046	3	Wednesday	29
28	0047	3	Wednesday	40
29	0048	3	Wednesday	31
30	0049	3	Wednesday	26
31	0050	3	Wednesday	35
33	0000	4	Thursday	2403
34	0001	4	Thursday	2849
35	0002	4	Thursday	571
36	0003	4	Thursday	308
37	0004	4	Thursday	308
38	0005	4	Thursday	167
39	0006	4	Thursday	165
40	0007	4	Thursday	154
41	0008	4	Thursday	116
42	0009	4	Thursday	136
43	0010	4	Thursday	139
44	0011	4	Thursday	87
45	0012	4	Thursday	307
46	0013	4	Thursday	168
47	0014	4	Thursday	104
48	0015	4	Thursday	73
49	0016	4	Thursday	92
50	0017	4	Thursday	70
51	0018	4	Thursday	62
52	0019	4	Thursday	48
01	0020	4	Thursday	66
02	0021	4	Thursday	55
03	0022	4	Thursday	66
04	0023	4	Thursday	38
05	0024	4	Thursday	69
06	0025	4	Thursday	81
07	0026	4	Thursday	87
08	0027	4	Thursday	65
09	0028	4	Thursday	60
10	0029	4	Thursday	53
11	0030	4	Thursday	69
12	0031	4	Thursday	49
13	0032	4	Thursday	54
14	0033	4	Thursday	56
15	0034	4	Thursday	51
16	0035	4	Thursday	42
17	0036	4	Thursday	45
18	0037	4	Thursday	38
19	0038	4	Thursday	45
20	0039	4	Thursday	31
21	0040	4	Thursday	62
22	0041	4	Thursday	47
23	0042	4	Thursday	40
24	0043	4	Thursday	40
25	0044	4	Thursday	55
26	0045	4	Thursday	35
27	0046	4	Thursday	31
28	0047	4	Thursday	29
29	0048	4	Thursday	22
30	0049	4	Thursday	25
31	0050	4	Thursday	26
33	0000	5	Friday	1745
34	0001	5	Friday	1367
35	0002	5	Friday	535
36	0003	5	Friday	331
37	0004	5	Friday	263
38	0005	5	Friday	171
39	0006	5	Friday	155
40	0007	5	Friday	142
41	0008	5	Friday	117
42	0009	5	Friday	163
43	0010	5	Friday	110
44	0011	5	Friday	104
45	0012	5	Friday	264
46	0013	5	Friday	147
47	0014	5	Friday	81
48	0015	5	Friday	106
49	0016	5	Friday	69
50	0017	5	Friday	75
51	0018	5	Friday	57
52	0019	5	Friday	51
01	0020	5	Friday	63
02	0021	5	Friday	59
03	0022	5	Friday	48
04	0023	5	Friday	40
05	0024	5	Friday	65
06	0025	5	Friday	82
07	0026	5	Friday	71
08	0027	5	Friday	60
09	0028	5	Friday	65
10	0029	5	Friday	51
11	0030	5	Friday	73
12	0031	5	Friday	58
13	0032	5	Friday	57
14	0033	5	Friday	45
15	0034	5	Friday	52
16	0035	5	Friday	40
17	0036	5	Friday	47
18	0037	5	Friday	52
19	0038	5	Friday	30
20	0039	5	Friday	35
21	0040	5	Friday	60
22	0041	5	Friday	41
23	0042	5	Friday	38
24	0043	5	Friday	32
25	0044	5	Friday	44
26	0045	5	Friday	41
27	0046	5	Friday	38
28	0047	5	Friday	30
29	0048	5	Friday	28
30	0049	5	Friday	33
31	0050	5	Friday	33
33	0000	6	Saturday	1203
34	0001	6	Saturday	741
35	0002	6	Saturday	436
36	0003	6	Saturday	253
37	0004	6	Saturday	204
38	0005	6	Saturday	159
39	0006	6	Saturday	149
40	0007	6	Saturday	117
41	0008	6	Saturday	127
42	0009	6	Saturday	154
43	0010	6	Saturday	94
44	0011	6	Saturday	75
45	0012	6	Saturday	173
46	0013	6	Saturday	150
47	0014	6	Saturday	69
48	0015	6	Saturday	84
49	0016	6	Saturday	60
50	0017	6	Saturday	64
51	0018	6	Saturday	50
52	0019	6	Saturday	35
01	0020	6	Saturday	51
02	0021	6	Saturday	38
03	0022	6	Saturday	51
04	0023	6	Saturday	86
05	0024	6	Saturday	59
06	0025	6	Saturday	61
07	0026	6	Saturday	54
08	0027	6	Saturday	47
09	0028	6	Saturday	35
10	0029	6	Saturday	43
11	0030	6	Saturday	52
12	0031	6	Saturday	28
13	0032	6	Saturday	20
14	0033	6	Saturday	41
15	0034	6	Saturday	43
16	0035	6	Saturday	33
17	0036	6	Saturday	43
18	0037	6	Saturday	24
19	0038	6	Saturday	44
20	0039	6	Saturday	32
21	0040	6	Saturday	30
22	0041	6	Saturday	28
23	0042	6	Saturday	48
24	0043	6	Saturday	32
25	0044	6	Saturday	28
26	0045	6	Saturday	22
27	0046	6	Saturday	26
28	0047	6	Saturday	30
29	0048	6	Saturday	19
30	0049	6	Saturday	26
31	0050	6	Saturday	19
