sessionDurationBucket	userType	sessions
234	Returning Visitor	16
236	New Visitor	16
255	Returning Visitor	16
257	Returning Visitor	16
259	Returning Visitor	16
261	Returning Visitor	16
271	Returning Visitor	16
275	New Visitor	16
276	New Visitor	16
278	New Visitor	16
278	Returning Visitor	16
279	New Visitor	16
280	Returning Visitor	16
288	Returning Visitor	16
296	New Visitor	16
299	New Visitor	16
307	New Visitor	16
308	New Visitor	16
310	Returning Visitor	16
315	New Visitor	16
318	New Visitor	16
323	Returning Visitor	16
332	New Visitor	16
334	New Visitor	16
338	Returning Visitor	16
344	New Visitor	16
353	Returning Visitor	16
364	New Visitor	16
378	New Visitor	16
383	Returning Visitor	16
388	Returning Visitor	16
391	Returning Visitor	16
397	Returning Visitor	16
408	Returning Visitor	16
409	New Visitor	16
433	New Visitor	16
435	New Visitor	16
443	New Visitor	16
444	New Visitor	16
454	New Visitor	16
458	Returning Visitor	16
459	Returning Visitor	16
463	New Visitor	16
469	New Visitor	16
472	Returning Visitor	16
473	New Visitor	16
476	New Visitor	16
476	Returning Visitor	16
481	Returning Visitor	16
483	Returning Visitor	16
486	New Visitor	16
494	New Visitor	16
497	Returning Visitor	16
533	New Visitor	16
546	New Visitor	16
552	Returning Visitor	16
598	New Visitor	16
614	Returning Visitor	16
619	Returning Visitor	16
63	New Visitor	16
659	Returning Visitor	16
670	Returning Visitor	16
70	New Visitor	16
723	Returning Visitor	16
761	Returning Visitor	16
77	Returning Visitor	16
776	New Visitor	16
792	Returning Visitor	16
91	Returning Visitor	16
927	Returning Visitor	16
94	Returning Visitor	16
98	Returning Visitor	16
1207	Returning Visitor	15
122	Returning Visitor	15
123	Returning Visitor	15
129	Returning Visitor	15
145	Returning Visitor	15
1494	Returning Visitor	15
158	New Visitor	15
165	Returning Visitor	15
166	Returning Visitor	15
168	Returning Visitor	15
173	New Visitor	15
173	Returning Visitor	15
175	Returning Visitor	15
177	New Visitor	15
178	New Visitor	15
180	Returning Visitor	15
186	Returning Visitor	15
193	New Visitor	15
198	Returning Visitor	15
200	New Visitor	15
202	New Visitor	15
206	Returning Visitor	15
207	Returning Visitor	15
209	New Visitor	15
225	Returning Visitor	15
233	New Visitor	15
243	New Visitor	15
248	New Visitor	15
249	New Visitor	15
250	New Visitor	15
252	Returning Visitor	15
255	New Visitor	15
261	New Visitor	15
262	Returning Visitor	15
264	New Visitor	15
268	Returning Visitor	15
269	New Visitor	15
284	Returning Visitor	15
289	New Visitor	15
293	Returning Visitor	15
297	New Visitor	15
305	New Visitor	15
307	Returning Visitor	15
313	New Visitor	15
316	New Visitor	15
328	Returning Visitor	15
331	Returning Visitor	15
341	Returning Visitor	15
348	Returning Visitor	15
351	New Visitor	15
356	New Visitor	15
368	New Visitor	15
370	Returning Visitor	15
375	Returning Visitor	15
387	Returning Visitor	15
390	Returning Visitor	15
392	New Visitor	15
401	Returning Visitor	15
405	Returning Visitor	15
413	Returning Visitor	15
423	New Visitor	15
424	New Visitor	15
430	New Visitor	15
434	New Visitor	15
450	New Visitor	15
461	Returning Visitor	15
474	New Visitor	15
477	Returning Visitor	15
480	New Visitor	15
485	New Visitor	15
487	Returning Visitor	15
499	Returning Visitor	15
508	New Visitor	15
509	Returning Visitor	15
521	New Visitor	15
523	Returning Visitor	15
525	New Visitor	15
530	Returning Visitor	15
531	New Visitor	15
535	Returning Visitor	15
537	New Visitor	15
537	Returning Visitor	15
544	New Visitor	15
544	Returning Visitor	15
555	New Visitor	15
556	New Visitor	15
568	Returning Visitor	15
569	New Visitor	15
577	New Visitor	15
585	Returning Visitor	15
590	New Visitor	15
591	Returning Visitor	15
592	Returning Visitor	15
593	Returning Visitor	15
609	Returning Visitor	15
618	Returning Visitor	15
625	Returning Visitor	15
661	New Visitor	15
665	Returning Visitor	15
681	New Visitor	15
705	Returning Visitor	15
71	New Visitor	15
717	Returning Visitor	15
73	New Visitor	15
730	Returning Visitor	15
742	Returning Visitor	15
764	Returning Visitor	15
771	Returning Visitor	15
78	Returning Visitor	15
798	Returning Visitor	15
80	New Visitor	15
808	New Visitor	15
844	Returning Visitor	15
856	Returning Visitor	15
92	Returning Visitor	15
923	Returning Visitor	15
956	Returning Visitor	15
1007	Returning Visitor	14
104	New Visitor	14
106	Returning Visitor	14
1068	Returning Visitor	14
112	Returning Visitor	14
1129	Returning Visitor	14
116	New Visitor	14
117	Returning Visitor	14
1245	Returning Visitor	14
131	Returning Visitor	14
138	Returning Visitor	14
141	Returning Visitor	14
148	Returning Visitor	14
149	Returning Visitor	14
150	Returning Visitor	14
157	Returning Visitor	14
164	New Visitor	14
172	New Visitor	14
176	Returning Visitor	14
182	Returning Visitor	14
191	Returning Visitor	14
192	New Visitor	14
193	Returning Visitor	14
198	New Visitor	14
204	New Visitor	14
224	New Visitor	14
228	Returning Visitor	14
232	Returning Visitor	14
237	Returning Visitor	14
238	New Visitor	14
242	Returning Visitor	14
251	New Visitor	14
254	New Visitor	14
273	New Visitor	14
273	Returning Visitor	14
274	New Visitor	14
280	New Visitor	14
289	Returning Visitor	14
291	Returning Visitor	14
293	New Visitor	14
296	Returning Visitor	14
317	Returning Visitor	14
322	New Visitor	14
338	New Visitor	14
345	New Visitor	14
345	Returning Visitor	14
347	New Visitor	14
347	Returning Visitor	14
352	New Visitor	14
361	Returning Visitor	14
372	Returning Visitor	14
377	Returning Visitor	14
378	Returning Visitor	14
391	New Visitor	14
400	Returning Visitor	14
403	New Visitor	14
407	Returning Visitor	14
411	New Visitor	14
415	Returning Visitor	14
421	New Visitor	14
427	Returning Visitor	14
438	Returning Visitor	14
447	New Visitor	14
448	Returning Visitor	14
450	Returning Visitor	14
451	New Visitor	14
456	Returning Visitor	14
462	Returning Visitor	14
465	New Visitor	14
470	New Visitor	14
472	New Visitor	14
475	Returning Visitor	14
479	New Visitor	14
479	Returning Visitor	14
486	Returning Visitor	14
488	New Visitor	14
489	Returning Visitor	14
490	New Visitor	14
503	New Visitor	14
504	New Visitor	14
505	New Visitor	14
517	Returning Visitor	14
518	Returning Visitor	14
542	New Visitor	14
547	New Visitor	14
548	New Visitor	14
553	New Visitor	14
557	New Visitor	14
558	New Visitor	14
561	New Visitor	14
568	New Visitor	14
573	New Visitor	14
574	New Visitor	14
576	New Visitor	14
587	New Visitor	14
588	Returning Visitor	14
593	New Visitor	14
598	Returning Visitor	14
60	New Visitor	14
600	New Visitor	14
605	Returning Visitor	14
611	Returning Visitor	14
628	Returning Visitor	14
64	New Visitor	14
658	Returning Visitor	14
67	New Visitor	14
673	New Visitor	14
674	New Visitor	14
681	Returning Visitor	14
690	New Visitor	14
691	New Visitor	14
698	Returning Visitor	14
702	Returning Visitor	14
71	Returning Visitor	14
717	New Visitor	14
718	New Visitor	14
741	Returning Visitor	14
751	New Visitor	14
777	Returning Visitor	14
78	New Visitor	14
787	Returning Visitor	14
81	New Visitor	14
818	Returning Visitor	14
826	New Visitor	14
840	Returning Visitor	14
873	Returning Visitor	14
892	New Visitor	14
960	Returning Visitor	14
1008	New Visitor	13
1018	Returning Visitor	13
1064	Returning Visitor	13
1073	Returning Visitor	13
1105	Returning Visitor	13
114	Returning Visitor	13
1180	Returning Visitor	13
119	Returning Visitor	13
126	New Visitor	13
1273	Returning Visitor	13
1299	Returning Visitor	13
131	New Visitor	13
1311	Returning Visitor	13
1321	Returning Visitor	13
138	New Visitor	13
141	New Visitor	13
156	Returning Visitor	13
177	Returning Visitor	13
1797	Returning Visitor	13
184	New Visitor	13
195	Returning Visitor	13
196	New Visitor	13
197	New Visitor	13
199	Returning Visitor	13
203	New Visitor	13
2102	Returning Visitor	13
213	Returning Visitor	13
215	New Visitor	13
215	Returning Visitor	13
221	New Visitor	13
230	Returning Visitor	13
245	Returning Visitor	13
253	New Visitor	13
258	Returning Visitor	13
264	Returning Visitor	13
265	Returning Visitor	13
271	New Visitor	13
274	Returning Visitor	13
290	Returning Visitor	13
305	Returning Visitor	13
319	Returning Visitor	13
324	Returning Visitor	13
325	Returning Visitor	13
346	Returning Visitor	13
358	Returning Visitor	13
364	Returning Visitor	13
371	Returning Visitor	13
373	Returning Visitor	13
374	New Visitor	13
386	Returning Visitor	13
390	New Visitor	13
399	Returning Visitor	13
400	New Visitor	13
410	Returning Visitor	13
429	Returning Visitor	13
437	New Visitor	13
438	New Visitor	13
446	Returning Visitor	13
449	Returning Visitor	13
452	New Visitor	13
457	Returning Visitor	13
492	Returning Visitor	13
493	Returning Visitor	13
495	New Visitor	13
498	New Visitor	13
499	New Visitor	13
520	New Visitor	13
522	New Visitor	13
527	New Visitor	13
533	Returning Visitor	13
540	New Visitor	13
543	Returning Visitor	13
562	New Visitor	13
566	Returning Visitor	13
574	Returning Visitor	13
576	Returning Visitor	13
595	New Visitor	13
596	Returning Visitor	13
601	New Visitor	13
602	Returning Visitor	13
607	Returning Visitor	13
608	Returning Visitor	13
612	Returning Visitor	13
617	Returning Visitor	13
620	Returning Visitor	13
622	Returning Visitor	13
625	New Visitor	13
639	Returning Visitor	13
641	New Visitor	13
646	Returning Visitor	13
65	New Visitor	13
650	Returning Visitor	13
657	Returning Visitor	13
665	New Visitor	13
68	New Visitor	13
700	Returning Visitor	13
706	Returning Visitor	13
733	Returning Visitor	13
74	New Visitor	13
758	New Visitor	13
758	Returning Visitor	13
777	New Visitor	13
831	New Visitor	13
843	New Visitor	13
85	New Visitor	13
885	New Visitor	13
887	Returning Visitor	13
93	Returning Visitor	13
95	Returning Visitor	13
963	Returning Visitor	13
984	Returning Visitor	13
988	Returning Visitor	13
1017	Returning Visitor	12
1022	New Visitor	12
1028	Returning Visitor	12
1031	New Visitor	12
1057	Returning Visitor	12
1144	Returning Visitor	12
1150	Returning Visitor	12
1164	Returning Visitor	12
1181	New Visitor	12
1185	New Visitor	12
121	New Visitor	12
1228	New Visitor	12
1278	Returning Visitor	12
1318	Returning Visitor	12
133	Returning Visitor	12
1333	Returning Visitor	12
1386	Returning Visitor	12
1449	Returning Visitor	12
145	New Visitor	12
1487	Returning Visitor	12
151	New Visitor	12
155	Returning Visitor	12
1552	Returning Visitor	12
156	New Visitor	12
1688	Returning Visitor	12
169	Returning Visitor	12
1709	Returning Visitor	12
178	Returning Visitor	12
196	Returning Visitor	12
209	Returning Visitor	12
210	New Visitor	12
210	Returning Visitor	12
211	Returning Visitor	12
214	Returning Visitor	12
216	Returning Visitor	12
229	Returning Visitor	12
230	New Visitor	12
239	Returning Visitor	12
240	Returning Visitor	12
244	New Visitor	12
249	Returning Visitor	12
251	Returning Visitor	12
260	Returning Visitor	12
263	Returning Visitor	12
266	New Visitor	12
270	New Visitor	12
272	New Visitor	12
277	Returning Visitor	12
283	Returning Visitor	12
294	Returning Visitor	12
301	Returning Visitor	12
303	Returning Visitor	12
311	Returning Visitor	12
316	Returning Visitor	12
327	New Visitor	12
330	Returning Visitor	12
333	Returning Visitor	12
337	Returning Visitor	12
351	Returning Visitor	12
384	New Visitor	12
385	Returning Visitor	12
402	New Visitor	12
413	New Visitor	12
415	New Visitor	12
422	New Visitor	12
422	Returning Visitor	12
430	Returning Visitor	12
433	Returning Visitor	12
434	Returning Visitor	12
435	Returning Visitor	12
443	Returning Visitor	12
445	New Visitor	12
456	New Visitor	12
460	Returning Visitor	12
462	New Visitor	12
468	Returning Visitor	12
473	Returning Visitor	12
474	Returning Visitor	12
480	Returning Visitor	12
484	Returning Visitor	12
485	Returning Visitor	12
487	New Visitor	12
500	New Visitor	12
507	Returning Visitor	12
508	Returning Visitor	12
510	New Visitor	12
511	New Visitor	12
522	Returning Visitor	12
524	Returning Visitor	12
531	Returning Visitor	12
539	New Visitor	12
543	New Visitor	12
551	Returning Visitor	12
557	Returning Visitor	12
565	New Visitor	12
570	Returning Visitor	12
572	Returning Visitor	12
583	Returning Visitor	12
585	New Visitor	12
589	New Visitor	12
594	New Visitor	12
596	New Visitor	12
604	Returning Visitor	12
613	New Visitor	12
613	Returning Visitor	12
616	New Visitor	12
62	New Visitor	12
623	Returning Visitor	12
631	Returning Visitor	12
632	New Visitor	12
633	New Visitor	12
639	New Visitor	12
640	Returning Visitor	12
642	New Visitor	12
651	Returning Visitor	12
653	Returning Visitor	12
654	Returning Visitor	12
656	New Visitor	12
66	New Visitor	12
661	Returning Visitor	12
664	Returning Visitor	12
668	New Visitor	12
669	New Visitor	12
670	New Visitor	12
671	New Visitor	12
672	Returning Visitor	12
676	Returning Visitor	12
