Datsetid	Players_total	No.ofalignments	Players_active	Usable_alignments	Empty_alignments	Maxscoreperread	Readnumber
1994	13	13	8	8	5	48.8	20
1995	9	9	8	8	1	35.7	20
1996	17	18	13	14	4	33.5	20
1997	8	8	6	6	2	24.25	20
1998	11	11	10	10	1	34.0	3
1999	21	21	13	13	8	46.45	20
2000	18	18	15	15	3	51.75	20
2001	14	14	9	9	5	55.6	20
2002	11	11	11	11	0	59.75	20
2003	20	20	15	15	5	59.55	20
2004	21	21	14	14	7	60.5	20
2005	18	18	14	14	4	60.0	20
2006	21	21	19	19	2	66.55	20
2007	19	19	14	14	5	77.85	20
2008	2	2	2	2	0	81.0	20
2009	18	20	13	15	5	79.8	20
2010	20	20	12	12	8	80.6	20
2011	16	18	13	13	5	79.3	20
2012	13	13	12	12	1	80.65	20
2013	8	8	8	8	0	79.8	20
2014	9	10	8	9	1	79.3	20
2015	11	11	10	10	1	80.25	20
2016	12	12	10	10	2	80.6	20
2017	11	11	7	7	4	81.0	20
2018	12	12	11	11	1	79.8	20
2019	18	18	15	15	3	81.0	20
2020	15	16	13	14	2	80.6	20
2021	10	10	10	10	0	81.0	20
2022	12	12	11	11	1	79.85	20
2023	25	25	15	15	10	80.0	20
2024	16	16	12	12	4	53.0	20
2025	12	12	8	8	4	38.1	20
2026	11	11	9	9	2	41.05	20
2027	18	18	15	15	3	43.0	6
2028	10	10	9	9	1	33.2	20
2029	6	6	5	5	1	95.4	20
2030	16	16	15	15	1	83.6	20
2031	17	17	16	16	1	43.5	6
2032	34	34	30	30	4	38.8	20
2033	9	9	6	6	3	92.15	20
2034	20	20	18	18	2	73.89473684210526	19
2035	15	15	12	12	3	31.0	20
2036	14	14	12	12	2	79.4	20
2037	14	14	12	12	2	27.8	10
2038	14	14	14	14	0	51.8	20
2039	13	13	10	10	3	66.55	20
2040	15	15	7	7	8	88.6	20
2041	11	11	10	10	1	88.6	20
2042	15	15	11	11	4	87.8	20
2043	11	11	8	8	3	67.35	20
2044	13	13	8	8	5	43.666666666666664	18
2045	9	9	5	5	4	71.15	20
2046	15	16	9	9	7	96.2	20
2047	17	17	16	16	1	97.0	20
2048	14	14	13	13	1	66.2	20
2049	11	11	7	7	4	42.4	10
2050	19	19	13	13	6	44.0	20
2051	16	16	13	13	3	70.81818181818181	11
2052	8	8	6	6	2	41.4	20
2053	16	16	12	12	4	89.65	20
2054	13	13	8	8	5	94.35	20
2055	15	15	13	13	2	96.6	20
2056	16	38	14	36	2	60.05	20
2057	14	15	12	13	2	37.0	1
2058	13	13	10	10	3	77.2	20
2059	15	15	13	13	2	86.9	20
2060	13	13	12	12	1	84.9	20
2061	20	20	16	16	4	54.529411764705884	17
2062	9	9	5	5	4	61.25	20
2063	10	10	7	7	3	10.95	20
2064	14	14	12	12	2	87.4	20
2065	11	11	8	8	3	91.1	20
2066	13	13	12	12	1	91.6	20
2067	17	17	10	10	7	91.6	20
2068	13	13	11	11	2	92.0	20
2069	9	9	9	9	0	91.2	20
2070	11	11	9	9	2	92.0	20
2071	18	18	15	15	3	92.0	3
2072	18	18	12	12	6	66.4	20
2073	12	12	10	10	2	89.0	20
2074	18	18	18	18	0	44.1	20
2075	12	12	9	9	3	38.0	3
2076	15	15	6	6	9	40.1	20
2077	15	15	14	14	1	52.0	20
2078	8	8	8	8	0	95.35	20
2079	12	12	11	11	1	93.85	20
2080	17	17	13	13	4	97.0	20
2081	16	16	15	15	1	94.5	20
2082	9	9	8	8	1	94.2	20
2083	15	15	7	7	8	81.35	20
2084	18	18	14	14	4	48.35	20
2085	22	22	16	16	6	35.57142857142857	7
2086	17	17	12	12	5	47.35	20
2087	17	17	16	16	1	66.35	20
2088	16	16	13	13	3	88.6	20
2089	13	13	10	10	3	79.0	20
2090	9	10	9	10	0	36.416666666666664	12
2091	16	16	9	9	7	31.45	20
2092	13	13	11	11	2	31.75	20
2093	19	19	17	17	2	64.05	20
2094	21	21	19	19	2	92.45	20
2095	9	9	5	5	4	96.6	20
2096	6	6	5	5	1	97.0	20
2097	18	18	15	15	3	97.0	20
2098	11	11	8	8	3	72.4375	16
2099	10	10	6	6	4	61.3	20
2100	14	14	8	8	6	61.1	20
2101	12	12	8	8	4	78.6	20
2102	14	14	12	12	2	45.0	4
2103	15	15	12	12	3	45.3	20
2104	12	12	11	11	1	49.45	20
2105	15	15	10	10	5	59.8235294117647	17
2106	12	12	11	11	1	82.55	20
2107	12	12	11	11	1	103.4	20
2108	17	17	14	14	3	103.85	20
2109	22	22	18	18	4	98.95	20
2110	12	12	11	11	1	103.15	20
2111	18	18	14	14	4	82.55	20
2112	11	11	10	10	1	45.9	20
2113	17	17	15	15	2	59.0	3
2114	9	9	8	8	1	62.0	20
2115	13	13	11	11	2	86.25	20
2116	11	11	11	11	0	95.55	20
2117	10	10	10	10	0	89.3	20
2118	18	18	14	14	4	90.35	20
2119	9	9	8	8	1	92.5	20
2120	11	11	10	10	1	89.9	10
2121	10	10	8	8	2	14.2	20
2122	23	23	19	19	4	49.69230769230769	13
2123	14	14	8	8	6	52.2	20
2124	11	11	8	8	3	48.1	20
2125	18	18	17	17	1	34.25	20
2126	15	15	14	14	1	66.0	3
2127	13	13	9	9	4	57.6	20
2128	12	12	8	8	4	57.65	20
2129	27	27	24	24	3	77.2	20
2130	10	10	8	8	2	101.15	20
2131	16	16	13	13	3	77.05	20
2132	14	15	9	9	6	52.0	9
2133	10	10	7	7	3	42.5	20
2134	17	17	15	15	2	84.4	20
2135	17	18	14	15	3	86.65	20
2136	13	13	11	11	2	86.2	20
2137	14	14	12	12	2	87.0	20
2138	20	20	15	15	5	86.2	20
2139	14	15	10	11	4	67.5	10
2140	12	12	9	9	3	47.85	20
2141	10	10	9	9	1	82.6	20
2142	16	16	12	12	4	96.6	20
2143	16	16	15	15	1	81.65	20
2144	10	10	10	10	0	72.9	20
2145	16	16	15	15	1	46.357142857142854	14
2146	16	16	15	15	1	12.8	20
2147	13	13	13	13	0	72.15	20
2148	16	16	9	9	7	54.1	20
2149	13	13	10	10	3	55.0	2
2150	20	20	14	14	6	54.0	20
2151	13	13	10	10	3	69.1	20
2152	11	11	8	8	3	89.0	20
2153	11	11	9	9	2	86.75	20
2154	14	14	12	12	2	89.0	20
2155	13	13	12	12	1	89.0	20
2156	11	11	10	10	1	87.45	20
2157	21	21	17	17	4	87.4	20
2158	20	20	17	17	3	89.0	20
2159	18	18	16	16	2	72.55	20
2160	15	15	10	10	5	43.77777777777778	9
2161	16	16	12	12	4	34.85	20
2162	14	14	11	11	3	77.1	20
2163	20	20	13	13	7	97.0	20
2164	14	14	12	12	2	95.85	20
2165	16	16	13	13	3	96.2	20
2166	12	12	10	10	2	95.05	20
2167	10	10	9	9	1	97.0	20
2168	10	10	8	8	2	95.5	20
2169	7	7	7	7	0	86.45	20
2170	19	19	16	16	3	59.0	20
2171	9	9	6	6	3	29.7	20
2172	11	11	5	5	6	54.0	20
2173	16	16	11	11	5	54.0	20
2174	11	11	8	8	3	54.0	20
2175	12	12	9	9	3	66.85	20
2176	8	8	7	7	1	86.75	20
2177	17	17	11	11	6	87.4	20
2178	17	17	13	13	4	87.6	20
2179	12	12	12	12	0	84.15	20
2180	15	15	13	13	2	89.0	20
2181	13	13	12	12	1	88.25	20
2182	16	16	15	15	1	83.35	20
2183	32	32	28	28	4	88.2	20
2184	14	14	13	13	1	78.55	20
2185	14	14	13	13	1	54.65	20
2186	9	9	8	8	1	41.3	20
2187	12	12	10	10	2	31.45	20
2188	17	17	15	15	2	43.0	2
2189	11	11	9	9	2	54.55	20
2190	16	16	13	13	3	51.1764705882353	17
2191	19	19	11	11	8	30.9	20
2192	15	15	14	14	1	57.11764705882353	17
2193	12	12	7	7	5	33.95	20
2194	27	27	24	24	3	43.25	20
2195	11	11	11	11	0	19.4	20
2196	10	10	10	10	0	38.8	20
2197	11	11	9	9	2	33.95	20
2198	18	18	15	15	3	48.5	20
2199	22	22	19	19	3	48.5	20
2200	9	9	7	7	2	41.7	20
2201	17	18	16	17	1	19.4	20
2202	15	16	11	12	4	45.1	20
2203	17	17	13	13	4	36.0	1
2204	11	11	7	7	4	42.4	20
2205	10	10	9	9	1	45.55	20
2206	14	14	13	13	1	45.0	20
2207	14	14	10	10	4	46.4	20
2208	20	20	12	12	8	44.4	20
2209	14	14	7	7	7	50.0	20
2210	11	11	8	8	3	48.85	20
2211	6	6	4	4	2	47.0	20
2212	19	19	17	17	2	45.8	20
2213	18	18	11	11	7	51.0	20
2214	18	18	12	12	6	51.3	20
2215	17	17	13	13	4	54.95	20
2216	12	12	11	11	1	59.2	20
2217	15	15	9	9	6	70.4	20
2218	15	15	11	11	4	80.4	20
2219	15	15	11	11	4	93.95	20
2220	13	13	11	11	2	95.0	20
2221	15	15	12	12	3	96.25	20
2222	19	19	13	13	6	94.65	20
2223	15	15	12	12	3	95.8	20
2224	15	18	10	13	5	95.8	20
2225	13	14	13	14	0	96.2	20
2226	13	13	12	12	1	96.6	20
2227	18	19	14	15	4	95.8	20
2228	15	15	11	11	4	96.6	20
2229	15	21	11	17	4	96.2	20
2230	17	17	15	15	2	93.85	20
2231	18	18	16	16	2	96.6	20
2232	16	16	13	13	3	96.2	20
2233	7	7	3	3	4	94.6	20
2234	11	11	8	8	3	95.8	20
2235	17	17	12	12	5	96.6	20
2236	16	16	16	16	0	95.8	20
2237	20	20	16	16	4	96.6	20
2238	15	15	14	14	1	93.95	20
2239	9	9	9	9	0	97.0	20
2240	13	13	9	9	4	95.05	20
2241	15	15	10	10	5	95.4	20
2242	18	18	16	16	2	97.0	20
2243	16	16	15	15	1	93.4	20
2244	16	16	10	10	6	91.35	20
2245	9	9	9	9	0	92.45	20
2246	21	21	13	13	8	96.6	20
2247	16	17	13	14	3	94.05	20
2248	17	17	15	15	2	97.0	20
2249	14	14	14	14	0	94.6	20
2250	212	215	131	134	81	95.4	20
2251	14	14	14	14	0	96.6	20
2252	12	12	10	10	2	95.0	20
2253	12	12	9	9	3	97.0	20
2254	18	18	15	15	3	95.8	20
2255	10	10	7	7	3	95.4	20
2256	11	11	7	7	4	95.4	20
2257	12	12	10	10	2	96.25	20
2258	14	14	11	11	3	96.6	20
2259	17	17	12	12	5	90.55	20
2260	18	18	17	17	1	81.05	20
2261	17	17	13	13	4	69.3	20
2262	30	32	18	20	12	66.6	20
2263	17	17	11	11	6	63.25	20
2264	17	17	13	13	4	60.4	20
2265	12	12	8	8	4	60.5	20
2266	22	22	17	17	5	52.4	20
2267	11	11	9	9	2	44.2	20
2268	18	19	15	16	3	35.5	20
2269	12	12	6	6	6	35.75	20
2270	15	15	9	9	6	38.9	20
2271	14	14	10	10	4	39.45	20
2272	15	15	11	11	4	41.0	20
2273	9	9	4	4	5	29.65	20
2274	16	16	10	10	6	36.25	20
2275	23	23	15	15	8	40.4	20
2276	30	30	21	21	9	41.0	1
2277	9	9	8	8	1	41.0	20
2278	16	16	13	13	3	41.4	20
2279	9	9	7	7	2	41.55	20
2280	17	17	16	16	1	44.45	20
2281	9	9	9	9	0	44.2	20
2282	16	16	10	10	6	47.8	20
2283	17	17	14	14	3	48.15	20
2284	11	11	11	11	0	51.2	20
2285	15	15	11	11	4	52.6	20
2286	10	10	7	7	3	56.5	20
2287	14	14	11	11	3	54.8	20
2288	13	13	9	9	4	57.9	20
2289	14	14	10	10	4	62.45	20
2290	13	13	9	9	4	63.95	20
2291	12	12	10	10	2	59.3	20
2292	19	19	16	16	3	75.6	20
2293	13	13	9	9	4	84.75	20
2294	13	13	11	11	2	95.9	20
2295	8	8	5	5	3	94.3	20
2296	12	12	10	10	2	96.25	20
2297	17	17	14	14	3	95.85	20
2298	10	10	7	7	3	95.8	20
2299	16	18	13	15	3	95.8	20
2300	17	17	12	12	5	96.2	20
2301	14	14	10	10	4	86.9	20
2302	8	8	6	6	2	57.2	20
2303	13	13	13	13	0	19.285714285714285	7
2304	20	20	17	17	3	72.9	20
2305	11	11	9	9	2	56.65	20
2306	18	18	15	15	3	56.36842105263158	19
2307	10	10	4	4	6	30.95	20
2308	14	15	11	12	3	42.1	20
2309	7	7	5	5	2	62.6	20
2310	10	10	10	10	0	91.55	20
2311	14	14	13	13	1	93.9	20
2312	19	19	16	16	3	92.75	20
2313	18	18	14	14	4	91.05	20
2314	16	16	11	11	5	96.5	20
2315	22	22	18	18	4	100.2	20
2316	16	16	11	11	5	96.65	20
2317	20	20	17	17	3	91.8	20
2318	12	13	11	12	1	84.25	20
2319	10	10	9	9	1	70.6	20
2320	14	14	9	9	5	48.8	20
2321	16	16	10	10	6	25.235294117647058	17
2322	9	9	8	8	1	20.45	20
2323	12	13	9	10	3	38.5	20
2324	16	16	11	11	5	90.7	20
2325	12	12	12	12	0	102.6	20
2326	22	22	17	17	5	97.9	20
2327	17	17	17	17	0	103.55	20
2328	12	12	11	11	1	89.45	20
2329	13	14	8	8	6	49.35	20
2330	14	14	11	11	3	29.0	5
2331	20	20	10	10	10	60.6	20
2332	14	14	12	12	2	86.7	20
2333	17	17	6	6	11	87.35	20
2334	18	18	15	15	3	82.15	20
2335	13	13	12	12	1	50.55	20
2336	11	11	10	10	1	39.57142857142857	7
2337	11	11	5	5	6	17.4	20
2338	20	20	17	17	3	44.0	16
2339	13	14	10	10	4	54.2	20
2340	14	14	13	13	1	80.6	20
2341	12	12	12	12	0	88.6	20
2342	5	5	3	3	2	87.95	20
2343	17	17	12	12	5	63.2	20
2344	19	19	12	12	7	36.26315789473684	19
2345	16	16	14	14	2	41.05	20
2346	19	19	16	16	3	96.2	20
2347	15	15	11	11	4	62.785714285714285	14
2348	16	16	14	14	2	76.35	20
2349	12	12	8	8	4	72.0	20
2350	19	19	16	16	3	77.2	20
2351	15	15	14	14	1	93.45	20
2352	14	14	12	12	2	95.45	20
2353	13	13	7	7	6	96.6	20
2354	8	9	7	8	1	92.05	20
2355	13	13	12	12	1	80.5	20
2356	13	13	10	10	3	66.5	20
2357	16	16	10	10	6	50.7	20
2358	18	18	9	9	9	43.125	8
2359	11	11	9	9	2	47.85	20
2360	18	18	18	18	0	17.45	20
2361	10	10	10	10	0	67.6923076923077	13
2362	18	18	16	16	2	46.0	20
2363	8	8	6	6	2	83.45	20
2364	19	19	14	14	5	96.6	20
2365	24	24	20	20	4	96.65	20
2366	16	16	15	15	1	65.75	20
2367	17	17	13	13	4	48.0	8
2368	8	8	8	8	0	58.55	20
2369	16	16	13	13	3	95.15	20
2370	18	18	15	15	3	81.65	20
2371	12	12	10	10	2	96.6	20
2372	13	13	12	12	1	92.4	5
2373	16	16	9	9	7	52.05	20
2374	9	11	7	7	4	72.95	20
2375	13	13	11	11	2	59.45454545454545	11
2376	16	16	15	15	1	29.05	20
2377	15	15	12	12	3	60.35	20
2378	17	17	10	10	7	64.45	20
2379	16	16	11	11	5	78.2	20
2380	7	7	7	7	0	96.2	20
2381	17	17	15	15	2	95.05	20
2382	12	13	11	12	1	91.65	20
2383	16	16	14	14	2	49.46666666666667	15
2384	16	17	13	14	3	10.85	20
2385	19	19	14	14	5	73.95	20
2386	20	20	14	14	6	42.45	20
2387	18	18	14	14	4	35.0	7
2388	13	13	10	10	3	48.95	20
2389	12	13	9	10	3	55.625	8
2390	11	11	10	10	1	63.55	20
2391	15	15	12	12	3	60.65	20
2392	12	12	10	10	2	93.2	20
2393	11	11	10	10	1	90.65	20
2394	21	27	21	27	0	92.7	20
2395	12	12	10	10	2	94.2	20
2396	12	12	11	11	1	94.6	20
2397	15	15	15	15	0	94.1	20
2398	11	11	8	8	3	78.6	20
2399	13	13	11	11	2	53.6	20
2400	12	13	9	10	3	44.15	20
2401	16	16	12	12	4	43.5	20
2402	12	12	11	11	1	65.7	20
2403	9	9	7	7	2	43.65	20
2404	9	9	9	9	0	50.25	8
2405	8	8	7	7	1	51.35	20
2406	12	12	11	11	1	76.4	20
2407	16	17	13	14	3	37.25	8
2408	14	14	9	9	5	48.95	20
2409	12	12	9	9	3	82.05	20
2410	9	9	8	8	1	57.5	8
2411	13	13	8	8	5	59.65	20
2412	23	23	16	16	7	56.75	20
2413	27	27	23	23	4	77.0	20
2414	13	13	10	10	3	79.95	20
2415	16	16	15	15	1	94.55	20
2416	19	19	17	17	2	97.55	20
2417	17	17	15	15	2	92.95	20
2418	10	10	10	10	0	96.85	20
2419	12	12	10	10	2	95.85	20
2420	6	7	6	7	0	92.1	20
2421	6	6	6	6	0	97.85	20
2422	10	10	10	10	0	99.35	20
2423	11	11	10	10	1	77.5	20
2424	12	12	11	11	1	71.1	20
2425	12	12	12	12	0	51.0	20
2426	18	19	17	18	1	44.15	20
2427	6	6	5	5	1	42.1	20
2428	8	8	8	8	0	43.1	20
2429	11	11	9	9	2	53.3	20
2430	14	14	13	13	1	60.0	2
2431	11	11	6	6	5	29.8	20
2432	14	14	13	13	1	30.6	20
2433	19	19	12	12	7	31.0	20
2434	15	15	13	13	2	31.0	20
2435	13	13	10	10	3	30.4	20
2436	15	15	12	12	3	30.95	20
2437	11	11	9	9	2	40.6	20
2438	17	19	12	14	5	42.7	20
2439	13	13	10	10	3	47.25	20
2440	17	17	12	12	5	52.85	20
2441	23	23	17	17	6	54.0	20
2442	12	12	8	8	4	56.4	20
2443	15	15	12	12	3	80.05	20
2444	16	16	10	10	6	82.15	20
2445	10	10	8	8	2	88.6	20
2446	13	13	11	11	2	88.6	20
2447	14	14	13	13	1	87.45	20
2448	11	11	8	8	3	88.2	20
2449	15	15	13	13	2	87.85	20
2450	12	12	11	11	1	83.75	20
2451	9	9	9	9	0	85.85	20
2452	11	11	10	10	1	89.0	20
2453	13	13	10	10	3	86.25	20
2454	21	21	19	19	2	88.6	20
2455	12	13	9	10	3	87.55	20
2456	21	21	18	18	3	88.0	20
2457	21	21	17	17	4	87.55	20
2458	10	10	10	10	0	88.25	20
2459	9	9	9	9	0	88.2	20
2460	16	16	15	15	1	88.2	20
2461	6	6	6	6	0	89.0	20
2462	13	13	12	12	1	88.25	20
2463	18	19	14	15	4	89.0	20
2464	14	14	10	10	4	88.25	20
2465	11	11	9	9	2	88.6	20
2466	17	17	16	16	1	87.45	20
2467	16	16	13	13	3	87.8	20
2468	18	18	12	12	6	89.0	20
2469	13	13	11	11	2	87.4	20
2470	14	14	13	13	1	88.6	20
2471	15	15	13	13	2	86.8	20
2472	12	12	9	9	3	88.2	20
2473	18	18	16	16	2	88.6	20
2474	9	9	9	9	0	86.75	20
2475	19	19	15	15	4	87.55	20
2476	15	15	10	10	5	87.85	20
2477	14	15	11	12	3	89.0	20
2478	10	10	9	9	1	89.0	20
2479	15	15	14	14	1	87.8	20
2480	11	11	9	9	2	88.2	20
2481	275	275	1	1	274	86.1	20
2482	8	8	8	8	0	80.25	20
2483	16	17	12	13	4	71.35	20
2484	10	10	8	8	2	63.6	20
2485	10	10	8	8	2	58.6	20
2486	11	11	5	5	6	41.85	20
2487	16	17	14	15	2	43.3	20
2488	15	15	11	11	4	40.6	20
2489	10	10	7	7	3	44.15	20
2490	13	14	8	9	5	43.85	20
2491	5	5	4	4	1	35.2	20
2492	18	19	14	14	5	44.0	3
2493	13	14	8	9	5	51.8	20
2494	11	11	10	10	1	74.85	20
2495	18	18	16	16	2	57.07692307692308	13
2496	21	21	11	11	10	42.0	20
2497	16	16	11	11	5	37.0	20
2498	12	12	8	8	4	41.45	20
2499	17	17	11	11	6	42.0	20
2500	14	14	10	10	4	41.85	20
2501	22	22	16	16	6	42.0	20
2502	7	7	6	6	1	34.35	20
2503	11	11	11	11	0	42.0	20
2504	9	9	8	8	1	42.2	20
2505	9	9	9	9	0	40.25	20
2506	22	22	13	13	9	43.05	20
2507	13	13	12	12	1	43.7	20
2508	14	14	12	12	2	50.0	20
2509	16	16	12	12	4	49.65	20
2510	16	16	11	11	5	49.2	20
2511	13	13	9	9	4	49.2	20
2512	14	14	11	11	3	48.45	20
2513	16	16	10	10	6	48.4	20
2514	7	7	6	6	1	49.25	20
2515	17	17	10	10	7	50.25	20
2516	11	11	8	8	3	48.6	20
2517	15	15	15	15	0	49.6	20
2518	9	9	9	9	0	49.5	20
2519	7	7	7	7	0	59.2	20
2520	18	18	13	13	5	78.8	20
2521	16	17	13	14	3	79.6	20
2522	21	21	16	16	5	75.2	20
2523	10	10	6	6	4	77.2	20
2524	14	14	12	12	2	71.05	20
2525	12	12	9	9	3	78.45	20
2526	16	16	14	14	2	81.6	20
2527	20	20	15	15	5	81.6	20
2528	8	8	5	5	3	81.0	20
2529	12	12	7	7	5	80.4	20
2530	16	16	14	14	2	78.0	20
2531	21	21	15	15	6	82.0	20
2532	11	11	10	10	1	82.0	20
2533	18	20	15	17	3	81.6	20
2534	12	12	8	8	4	80.0	20
2535	13	13	10	10	3	80.4	20
2536	11	11	9	9	2	79.05	20
2537	12	12	12	12	0	80.8	20
2538	15	15	11	11	4	78.8	20
2539	15	15	12	12	3	79.6	20
2540	7	7	6	6	1	80.4	20
2541	14	15	12	13	2	81.2	20
2542	12	12	9	9	3	81.6	20
2543	23	23	18	18	5	81.95	20
2544	9	9	7	7	2	82.0	20
2545	16	16	12	12	4	80.45	20
2546	9	9	7	7	2	79.35	20
2547	15	15	12	12	3	82.0	20
2548	6	6	4	4	2	79.8	20
2549	11	11	10	10	1	80.4	20
2550	12	12	9	9	3	81.6	20
2551	13	28	12	27	1	81.6	20
2552	12	12	10	10	2	82.0	20
2553	12	12	10	10	2	80.8	20
2554	16	16	13	13	3	82.0	20
2555	13	13	12	12	1	81.65	20
2556	8	8	6	6	2	80.05	20
2557	14	14	11	11	3	81.6	20
2558	6	6	5	5	1	74.3	20
2559	11	12	10	11	1	80.45	20
2560	10	10	10	10	0	77.1	20
2561	13	13	13	13	0	82.0	20
2562	11	11	8	8	3	81.6	20
2563	16	16	10	10	6	80.45	20
2564	13	13	13	13	0	79.35	20
2565	16	42	14	40	2	81.6	20
2566	14	14	13	13	1	81.6	20
2567	18	18	15	15	3	82.0	20
2568	13	13	11	11	2	81.6	20
2569	13	13	11	11	2	82.0	20
2570	12	12	12	12	0	81.6	20
2571	14	14	12	12	2	81.6	20
2572	12	12	10	10	2	82.0	20
2573	10	10	10	10	0	82.0	20
2574	20	20	16	16	4	77.1	20
2575	13	14	11	12	2	81.6	20
2576	13	14	12	13	1	80.8	20
2577	16	16	14	14	2	80.8	20
2578	15	15	12	12	3	81.6	20
2579	14	14	9	9	5	81.25	20
2580	17	17	15	15	2	77.95	20
2581	10	10	8	8	2	72.75	20
2582	16	16	9	9	7	59.75	20
2583	18	18	17	17	1	49.7	20
2584	19	19	15	15	4	49.55	20
2585	10	10	8	8	2	49.7	20
2586	12	12	12	12	0	50.0	20
2587	21	21	15	15	6	47.35	20
2588	11	11	8	8	3	49.1	20
2589	13	13	10	10	3	50.0	20
2590	13	13	10	10	3	45.416666666666664	12
2591	23	24	13	14	10	43.5	20
2592	14	14	12	12	2	73.6923076923077	13
2593	6	6	6	6	0	38.5	20
2594	13	13	12	12	1	47.0	2
2595	13	13	12	12	1	43.06666666666667	15
2596	19	19	16	16	3	26.7	20
2597	16	16	14	14	2	97.0	11
2598	16	16	12	12	4	25.15	20
2599	15	15	9	9	6	54.5	20
2600	15	15	11	11	4	98.5	20
2601	15	15	15	15	0	99.45	20
2602	11	11	8	8	3	100.7	20
2603	18	18	17	17	1	98.05	20
2604	18	18	14	14	4	70.86666666666666	15
2605	13	13	8	8	5	40.85	20
2606	15	15	12	12	3	40.85	20
2607	17	17	10	10	7	39.65	20
2608	13	13	9	9	4	44.85	20
2609	19	19	13	13	6	50.0	20
2610	20	20	18	18	2	50.25	20
2611	16	16	13	13	3	54.05	20
2612	10	10	7	7	3	82.05	20
2613	12	12	11	11	1	88.6	20
2614	20	20	15	15	5	88.6	20
2615	16	16	14	14	2	88.6	20
2616	15	15	12	12	3	86.35	20
2617	14	14	12	12	2	83.15	20
2618	19	19	16	16	3	88.6	20
2619	7	7	7	7	0	88.25	20
2620	16	16	11	11	5	89.0	20
2621	11	11	7	7	4	88.6	20
2622	7	7	6	6	1	83.85	20
2623	21	21	15	15	6	81.9	20
2624	18	18	14	14	4	89.0	20
2625	16	16	15	15	1	87.9	20
2626	15	17	13	15	2	85.9	20
2627	13	13	11	11	2	88.6	20
2628	10	10	7	7	3	87.45	20
2629	17	17	13	13	4	89.0	20
2630	12	12	9	9	3	88.2	20
2631	18	18	14	14	4	87.45	20
2632	22	22	20	20	2	88.3	20
2633	15	15	14	14	1	85.25	20
2634	9	9	8	8	1	74.3	20
2635	8	8	5	5	3	61.5	20
2636	11	11	10	10	1	46.65	20
2637	12	12	8	8	4	42.0	20
2638	11	11	11	11	0	40.35	20
2639	20	20	11	11	9	35.0	20
2640	12	13	11	12	1	32.45	20
2641	17	17	14	14	3	41.375	8
2642	15	16	12	12	4	26.05	20
2643	12	12	9	9	3	24.25	20
2644	11	11	9	9	2	48.0	1
2645	11	11	11	11	0	56.55	20
2646	13	13	13	13	0	34.0	1
2647	16	16	11	11	5	56.55	20
2648	21	21	17	17	4	75.5	20
2649	10	10	8	8	2	87.85	20
2650	13	13	8	8	5	89.0	20
2651	10	10	9	9	1	87.1	20
2652	15	17	11	13	4	88.2	20
2653	17	17	13	13	4	88.2	20
2654	14	15	11	12	3	88.35	20
2655	9	9	8	8	1	57.5	20
2656	15	15	13	13	2	55.8	20
2657	12	12	11	11	1	57.27272727272727	11
2658	12	12	8	8	4	30.7	20
2659	10	10	8	8	2	96.2	20
2660	18	18	17	17	1	35.1	20
2661	15	15	12	12	3	49.0	20
2662	10	10	5	5	5	35.05	20
2663	11	11	8	8	3	30.2	20
2664	10	10	8	8	2	30.0	3
2665	23	23	16	16	7	69.1	20
2666	18	18	14	14	4	96.6	20
2667	9	9	7	7	2	76.4	20
2668	20	20	18	18	2	69.7	20
2669	17	17	13	13	4	43.9375	16
2670	12	12	11	11	1	19.4	20
2671	12	12	11	11	1	60.357142857142854	14
2672	10	10	9	9	1	16.933333333333334	15
2673	10	10	6	6	4	49.35	20
2674	19	19	16	16	3	89.75	20
2675	17	17	14	14	3	88.75	20
2676	19	19	17	17	2	90.6	20
2677	13	13	12	12	1	87.95	20
2678	10	10	8	8	2	88.9	20
2679	10	10	7	7	3	92.05	20
2680	11	11	10	10	1	88.7	20
2681	22	22	20	20	2	88.75	20
2682	16	17	15	16	1	62.8	20
2683	12	12	9	9	3	37.6875	16
2684	12	12	8	8	4	52.7	20
2685	8	8	7	7	1	95.25	20
2686	20	20	18	18	2	95.8	20
2687	17	17	14	14	3	96.2	20
2688	13	13	10	10	3	89.15	20
2689	12	12	9	9	3	50.083333333333336	12
2690	13	13	11	11	2	39.75	20
2691	14	14	8	8	6	51.35	20
2692	19	19	15	15	4	79.45	20
2693	18	18	16	16	2	81.0	20
2694	12	12	9	9	3	78.36842105263158	19
2695	15	30	10	25	5	41.6	20
2696	13	13	10	10	3	40.65	20
2697	8	8	5	5	3	64.6	20
2698	14	14	14	14	0	93.45	20
2699	16	16	13	13	3	99.6	20
2700	12	12	11	11	1	95.45	20
2701	11	11	10	10	1	99.6	20
2702	5	5	3	3	2	98.3	20
2703	12	12	11	11	1	98.4	20
2704	18	18	14	14	4	98.8	20
2705	18	18	16	16	2	100.0	20
2706	16	16	14	14	2	99.2	20
2707	17	17	17	17	0	64.25	20
2708	11	11	8	8	3	44.666666666666664	6
2709	16	17	10	11	6	42.95	20
2710	27	27	18	18	9	61.7	20
2711	11	11	9	9	2	89.35	20
2712	9	11	6	8	3	95.45	20
2713	16	16	14	14	2	96.2	20
2714	17	17	15	15	2	94.65	20
2715	11	11	10	10	1	84.6	20
2716	16	16	11	11	5	45.7	20
2717	16	16	11	11	5	38.0	1
2718	15	15	12	12	3	57.8	20
2719	17	17	16	16	1	69.41666666666667	12
