Datsetid	Players_total	No.ofalignments	Players_active	Usable_alignments	Empty_alignments	Maxscoreperread	Readnumber
174	6	6	6	6	0	87.3	20
175	16	16	13	13	3	71.95	20
176	17	17	11	11	6	43.94736842105263	19
177	14	14	12	12	2	48.2	20
178	16	16	13	13	3	46.9	20
179	14	14	11	11	3	47.2	20
180	9	9	7	7	2	48.15	20
181	13	13	13	13	0	48.0	20
182	11	11	7	7	4	72.9	20
183	10	10	7	7	3	80.25	20
184	16	16	12	12	4	76.95	20
185	14	14	11	11	3	80.2	20
186	19	19	13	13	6	81.0	20
187	10	11	7	7	4	80.25	20
188	20	20	17	17	3	79.05	20
189	11	11	10	10	1	79.85	20
190	23	23	18	18	5	81.0	20
191	9	9	6	6	3	81.0	20
192	17	17	15	15	2	81.0	20
193	15	15	8	8	7	81.0	20
194	13	13	12	12	1	81.0	20
195	11	11	10	10	1	81.0	20
196	15	15	14	14	1	80.6	20
197	12	12	11	11	1	79.25	20
198	8	8	7	7	1	74.6	20
199	11	11	9	9	2	63.85	20
200	16	16	11	11	5	40.75	20
201	9	9	9	9	0	43.95	20
202	10	10	7	7	3	33.25	20
203	11	11	10	10	1	34.75	20
204	11	11	9	9	2	37.15	20
205	12	12	11	11	1	38.2	20
206	13	13	11	11	2	45.0	2
207	16	16	11	11	5	29.0	20
208	15	15	12	12	3	28.2	20
209	13	15	10	12	3	28.6	20
210	19	19	12	12	7	29.35	20
211	17	17	15	15	2	30.3	20
212	11	11	6	6	5	43.1	20
213	14	14	10	10	4	50.2	20
214	9	9	8	8	1	57.7	20
215	16	16	8	8	8	69.6	20
216	14	14	13	13	1	73.9	20
217	14	14	8	8	6	77.0	20
218	21	21	17	17	4	85.5	20
219	14	14	8	8	6	87.85	20
220	10	10	8	8	2	75.5	20
221	15	15	11	11	4	85.1	20
222	18	18	13	13	5	88.6	20
223	15	15	8	8	7	88.65	20
224	11	11	9	9	2	87.4	20
225	11	11	8	8	3	85.25	20
226	10	10	8	8	2	88.6	20
227	17	17	12	12	5	89.0	20
228	11	11	8	8	3	88.6	20
229	16	16	12	12	4	88.2	20
230	17	17	15	15	2	88.6	20
231	15	15	13	13	2	88.6	20
232	12	12	10	10	2	88.3	20
233	11	11	10	10	1	87.55	20
234	10	10	9	9	1	88.35	20
235	12	13	10	11	2	89.0	20
236	25	28	21	24	4	87.85	20
237	14	14	7	7	7	86.7	20
238	22	22	12	12	10	88.6	20
239	16	16	15	15	1	89.0	20
240	15	15	12	12	3	88.0	20
241	20	20	17	17	3	89.0	20
242	9	9	7	7	2	86.6	20
243	22	22	18	18	4	88.6	20
244	15	15	15	15	0	89.0	20
245	12	12	9	9	3	87.0	20
246	9	9	8	8	1	87.0	20
247	14	14	11	11	3	88.2	20
248	18	18	13	13	5	87.8	20
249	22	29	16	23	6	89.0	20
250	13	13	7	7	6	87.8	20
251	10	10	7	7	3	88.6	20
252	16	16	13	13	3	86.95	20
253	5	5	3	3	2	87.8	20
254	15	15	11	11	4	87.1	20
255	20	20	17	17	3	87.1	20
256	16	16	10	10	6	88.6	20
257	9	9	5	5	4	88.2	20
258	17	19	13	14	5	87.05	20
259	18	18	14	14	4	84.3	20
260	15	15	13	13	2	89.0	20
261	13	13	10	10	3	88.6	20
262	11	11	8	8	3	88.2	20
263	20	20	16	16	4	87.9	20
264	22	22	19	19	3	87.85	20
265	8	8	7	7	1	86.7	20
266	13	13	8	8	5	87.0	20
267	12	12	9	9	3	87.45	20
268	16	16	13	13	3	89.0	20
269	12	12	11	11	1	86.7	20
270	19	19	11	11	8	81.4	20
271	10	10	9	9	1	85.6	20
272	20	21	17	17	4	23.6	10
273	12	12	8	8	4	16.4	20
274	15	15	11	11	4	71.75	4
275	11	11	7	7	4	2.235294117647059	17
276	12	12	7	7	5	50.0	20
277	14	14	12	12	2	50.4	20
278	15	15	12	12	3	50.65	20
279	22	26	19	23	3	56.9	20
280	10	10	7	7	3	98.35	20
281	22	22	20	20	2	96.25	20
282	12	12	10	10	2	97.55	20
283	10	10	9	9	1	98.9	20
284	16	16	11	11	5	97.5	20
285	18	18	14	14	4	96.55	20
286	14	14	9	9	5	94.55	20
287	11	11	10	10	1	90.3	20
288	15	15	12	12	3	68.15	20
289	14	14	12	12	2	66.0	1
290	24	24	7	7	17	8.6	15
291	15	15	10	10	5	35.0	20
292	21	21	13	13	8	90.35	20
293	11	11	7	7	4	96.85	20
294	12	12	9	9	3	98.15	20
295	13	13	11	11	2	93.65	20
296	6	6	6	6	0	49.166666666666664	6
297	17	17	15	15	2	13.75	20
298	13	13	13	13	0	53.35	20
299	19	19	16	16	3	42.22222222222222	18
300	20	20	17	17	3	68.0	20
301	20	20	14	14	6	51.0	20
302	13	13	10	10	3	89.35	20
303	19	20	14	14	6	40.7	10
304	10	10	8	8	2	38.0	20
305	9	9	9	9	0	46.4	20
306	15	15	14	14	1	83.9	20
307	17	17	12	12	5	94.6	20
308	12	12	10	10	2	97.0	20
309	17	17	13	13	4	96.2	20
310	15	15	14	14	1	95.8	20
311	13	13	11	11	2	97.0	20
312	16	16	14	14	2	97.0	20
313	7	7	4	4	3	95.8	20
314	10	10	9	9	1	91.1	20
315	12	12	11	11	1	76.9	20
316	16	16	15	15	1	73.2	20
317	10	10	10	10	0	72.85	20
318	12	12	9	9	3	70.25	20
319	16	16	11	11	5	51.05	20
320	13	13	11	11	2	41.0	7
321	15	15	11	11	4	41.25	20
322	14	14	12	12	2	67.65	20
323	11	11	9	9	2	35.333333333333336	3
324	19	19	14	14	5	49.85	20
325	18	18	16	16	2	51.0	20
326	22	22	20	20	2	50.6	20
327	15	15	14	14	1	61.35	20
328	23	23	20	20	3	77.55	20
329	15	15	15	15	0	79.9	20
330	11	11	7	7	4	79.8	20
331	11	11	8	8	3	73.15	20
332	13	13	12	12	1	81.8	20
333	12	12	12	12	0	79.2	20
334	18	18	17	17	1	81.0	20
335	13	13	8	8	5	74.55	20
336	10	10	9	9	1	64.05	20
337	16	16	14	14	2	53.35	20
338	9	9	8	8	1	50.2	20
